FISH-QUANT	
RESULTS OF SPOT DETECTION PERFORMED ON 25-Nov-2020 
COMMENT	Batch detection
FILE	__SUMMARY_OF_MANY_FILES___
FILTERED	__SUMMARY_OF_MANY_FILES___
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
65	200	1.45	630	651	1.4	confocal
ANALYSIS-SETTINGS 	_FQ_batch_settings_MATURE_201125.txt
CELL	NO_CELLS_DEFINED
X_POS	0	END
Y_POS	0	END
SPOTS
File	Cell	Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	in_Nuc
0h_10_C4.tif	Cell_2	24278.7	53610.4	3741.2	26.499	110.079	1520.19	99.3159	99.3159	234.937	130.825	129.781	595.169	163.663	115.398	541.197	9	374	826	20	372	376	824	828	17	23	134	6.69051	1.67145	0.289616	1	0	-1
0h_10_C4.tif	Cell_2	24565.2	49890.6	2291.47	43.3237	108.784	2894.17	110.182	110.182	279.26	129.436	128.721	588.194	125.197	100.597	491.473	9	379	769	13	377	381	767	771	10	16	155	11.6392	2.91423	0.504955	1	1	-1
0h_10_C4.tif	Cell_2	25915.6	52671.1	4960.17	138.851	108.252	1310.39	9.88289	9.88289	450.149	129.597	129.676	599.254	110.642	151.147	560.166	28	400	811	26	398	402	809	813	23	29	125	5.14974	1.25853	0.218068	1	0	-1
0h_10_C4.tif	Cell_2	26076.6	49763.5	1819.01	65.7096	110.522	2941.95	108.595	108.595	242.052	130.985	128.169	603.195	141.569	103.481	619.005	7	402	767	10	400	404	765	769	7	13	179	16.3133	3.85525	0.668006	1	1	-1
0h_10_C4.tif	Cell_2	26093.1	52408.1	2131.66	12.8597	107.607	1992.52	121.749	121.749	363.101	130.603	130.295	596.902	158.09	148.125	531.656	13	402	807	12	400	404	805	809	9	15	133	5.2458	1.30719	0.2265	1	0	-1
0h_10_C4.tif	Cell_2	26049.3	52410.5	5539.36	148.76	108.415	834.895	9.30458	9.30458	609.641	130.129	130.112	599.497	114.263	150.461	539.365	46	402	807	29	400	404	805	809	26	32	125	5.4572	1.30262	0.225708	1	0	-1
0h_10_C4.tif	Cell_2	26407.9	49410.1	1738.57	43.932	112.516	2451.51	94.758	94.758	218.551	130.94	130.473	596.955	147.942	140.065	538.572	7	407	761	10	405	409	759	763	7	13	152	12.1035	2.88428	0.499764	1	1	-1
0h_10_C4.tif	Cell_2	28429	38727.4	3053.66	65.6645	110.304	2952.01	104.858	104.858	270.702	131.849	129.151	603.275	153.965	117.389	653.656	7	438	597	16	436	440	595	599	13	19	167	17.8599	4.23726	0.734199	1	1	-1
0h_10_C4.tif	Cell_2	28919.3	45062.2	2629.25	11.3443	110.72	1992.28	95.638	95.638	298.358	129.135	129.428	604.199	59.2607	82.2281	829.253	14	447	695	13	445	449	693	697	10	16	130	5.08192	1.37096	0.237548	1	0	-1
0h_10_C4.tif	Cell_2	28990.6	45110.2	3548.12	24.3895	109.585	1102.76	24.5034	24.5034	603.624	130.091	129.811	596.486	130.604	130.156	348.119	15	447	695	20	445	449	693	697	17	23	126	5.15932	1.11602	0.193375	1	0	-1
0h_10_C4.tif	Cell_2	29189.2	46105.4	3271.73	72.6352	114.793	4710.96	98.1764	98.1764	235.498	130.092	131.124	602.066	134.17	150.406	671.732	10	450	710	17	448	452	708	712	14	20	179	18.684	4.25306	0.736935	1	1	-1
0h_10_C4.tif	Cell_2	29742.3	51611.4	2652.78	53.3577	114.587	2009.23	102.828	102.828	227.922	128.534	130.128	604.466	102.302	131.38	652.784	6	459	795	14	457	461	793	797	11	17	171	14.2787	2.98486	0.517192	1	1	-1
0h_10_C4.tif	Cell_2	30090.2	55070.3	1717.18	72.0697	110.589	2436.33	98.1033	98.1033	215.366	129.795	130.539	590.863	125.198	145.303	517.183	7	464	848	10	462	466	846	850	7	13	175	17.8431	4.14225	0.717737	1	1	-1
0h_10_C4.tif	Cell_2	30378.5	44849.5	2586.68	65.7857	112.606	4683.99	99.2271	99.2271	224.83	131.373	129.649	595.738	153.47	129.523	586.678	7	468	691	14	466	470	689	693	11	17	174	17.4538	4.07299	0.705735	1	1	-1
0h_10_C4.tif	Cell_2	30969.5	54139.3	2488.67	81.1252	113.83	3614.12	98.0658	98.0658	223.078	127.48	129.526	609.321	94.467	124.277	688.668	8	478	834	13	476	480	832	836	10	16	184	20.0636	4.9221	0.852862	1	1	-1
0h_10_C4.tif	Cell_2	31264	59431.7	1845.21	33.6803	111.609	2920.27	114.909	114.909	282.095	129.957	130.977	605.361	129.024	151.716	645.212	9	482	915	10	480	484	913	917	7	13	150	9.70334	2.30363	0.399155	1	1	-1
0h_10_C4.tif	Cell_2	31576.3	59692.2	2059.13	17.7677	110.641	1724.04	116.306	116.306	280.067	129.826	130.559	603.64	116.315	152.155	659.126	8	487	919	11	485	489	917	921	8	14	128	5.499	1.4037	0.243222	1	0	-1
0h_10_C4.tif	Cell_2	32248	45177.6	2068.06	26.274	110.381	1064.27	23.7326	23.7326	1130.91	130.431	129.853	601.12	138.028	132.63	268.061	11	497	696	13	495	499	694	698	10	16	128	5.54333	1.3934	0.241438	1	0	-1
0h_10_C4.tif	Cell_2	32232.1	45185.4	5310.26	38.5213	108.418	798.081	17.5719	17.5719	989.544	130.106	129.986	599.79	122.139	140.363	510.26	11	497	696	28	495	499	694	698	25	31	124	5.06501	1.22463	0.212193	1	0	-1
0h_10_C4.tif	Cell_2	32652.2	36536.8	3066.89	38.31	110.214	2052.07	101.856	101.856	253.206	128.182	130.326	601.111	87.1796	136.794	666.888	8	504	563	16	502	506	561	565	13	19	144	9.44233	2.47408	0.428689	1	1	-1
0h_10_C4.tif	Cell_2	33236.6	47248.3	1823.49	74.6902	111.755	4688.93	97.8731	97.8731	247.034	131.903	129.072	605.116	151.563	123.298	623.491	7	512	728	10	510	514	726	730	7	13	186	21.5787	4.68786	0.812274	1	1	-1
0h_10_C4.tif	Cell_2	33344.3	52182.2	4644.06	34.6853	110.335	1846.9	95.4212	95.4212	258.476	129.88	129.526	600.652	129.31	117.249	644.057	7	514	804	24	512	516	802	806	21	27	147	10.1147	2.39829	0.415556	1	1	-1
0h_10_C4.tif	Cell_2	33541.3	62086.6	3355.95	76.448	110.439	3594.34	102.187	102.187	243.294	129.88	130.88	590.759	131.33	141.579	555.948	9	517	956	18	515	519	954	958	15	21	182	20.1842	4.63856	0.803732	1	1	-1
0h_10_C4.tif	Cell_2	33674.4	36974.4	3089.32	92.4058	106.888	6463.63	110.522	110.522	290.847	130.315	129.265	579.659	134.378	119.387	489.322	8	519	570	17	517	521	568	572	14	20	194	24.624	5.77127	1	1	1	-1
0h_10_C4.tif	Cell_2	33743.9	53368.6	3890.59	56.8161	113.7	2150.96	104.447	104.447	244.489	130.645	129.962	607.423	138.882	133.599	690.587	7	520	822	20	518	522	820	824	17	23	165	14.6708	3.22046	0.558016	1	1	-1
0h_10_C4.tif	Cell_2	34240.8	49170.9	4151.84	68.2523	109.235	4866.3	111.085	111.085	328.673	128.888	132.114	588.77	115.771	160.862	551.839	11	528	757	22	526	530	755	759	19	25	177	18.5896	4.40714	0.763634	1	1	-1
0h_10_C4.tif	Cell_2	34521.9	43882.6	2256.74	44.9439	110.557	2384.66	95.8705	95.8705	231.748	130.456	130.465	603.122	136.89	137.565	656.742	9	532	676	12	530	534	674	678	9	15	156	13.2738	2.84187	0.492416	1	1	-1
0h_10_C4.tif	Cell_2	34506.1	53132.5	4187.67	68.8721	109.144	4002.15	103.095	103.095	284.816	129.458	131.995	595.202	121.095	157.481	587.674	7	532	818	22	530	534	816	820	19	25	169	18.7722	4.43652	0.768725	1	1	-1
0h_10_C4.tif	Cell_2	34494.5	63713.4	1553.25	20.0841	108.915	1954.72	95.3557	95.3557	224.086	129.643	130.211	605.447	109.453	143.403	753.25	8	532	981	8	530	534	979	983	5	11	129	5.30396	1.66701	0.288846	1	0	-1
0h_10_C4.tif	Cell_2	35058.2	57290.8	3318.79	67.9726	112.012	4788.62	102.591	102.591	245.133	131.615	131.444	585.174	153.182	155.766	518.795	11	540	882	18	538	542	880	884	15	21	178	18.9979	4.13246	0.716039	1	1	-1
0h_10_C4.tif	Cell_2	35246.7	49960.5	4816.19	77.6541	111.197	4193.06	102.999	102.999	267.48	130.984	133.202	599.308	146.651	170.533	616.187	7	543	769	25	541	545	767	771	22	28	184	19.7678	5.05418	0.875747	1	1	-1
0h_10_C4.tif	Cell_2	35312.3	42963.8	3034.06	65.0008	111.586	3466.35	108.616	108.616	266.632	131.274	130.122	600.654	147.282	128.829	634.061	9	544	662	16	542	546	660	664	13	19	170	17.8666	3.86833	0.670272	1	1	-1
0h_10_C4.tif	Cell_2	35388.1	52897.1	5019.22	53.5885	110.62	3865.23	104.29	104.29	297.264	127.911	129.28	598.363	93.0805	117.111	619.225	7	546	815	26	544	548	813	817	23	29	164	13.5887	3.62707	0.62847	1	1	-1
0h_10_C4.tif	Cell_2	35495	48146.9	3906.32	22.5619	110.066	2064.63	108.059	108.059	306.532	130.335	129.486	594.704	135.031	111.897	506.325	10	547	742	21	545	549	740	744	18	24	134	7.42537	1.66217	0.288008	1	0	-1
0h_10_C4.tif	Cell_2	35680.2	51378	5082.54	76.8513	112.92	4710.54	106.855	106.855	268.26	129.567	127.008	607.411	125.175	93.0001	682.542	8	550	792	26	548	552	790	794	23	29	184	19.9197	4.62685	0.801703	1	1	-1
0h_10_C4.tif	Cell_2	35816.9	44351.8	1369.86	177.694	109.112	1156.17	7.63174	7.63174	791.75	130.43	130.491	603.252	131.9	151.83	769.86	48	552	683	7	550	554	681	685	4	10	126	5.01677	1.23002	0.213128	1	0	-1
0h_10_C4.tif	Cell_2	36367.7	50200.3	4779.77	55.1975	111.028	2357.12	103.438	103.438	271.734	131.85	131.047	595.534	162.715	150.342	579.773	7	560	773	25	558	562	771	775	22	28	163	14.1981	3.59985	0.623754	1	1	-1
0h_10_C4.tif	Cell_2	37180.7	47935.5	4217.78	77.2654	113.187	4172.29	107.649	107.649	252.118	129.824	132.179	599.293	130.732	160.504	617.783	6	573	738	22	571	575	736	740	19	25	189	20.3692	4.61803	0.800175	1	1	-1
0h_10_C4.tif	Cell_2	37933.7	50826.1	1763.11	73.3284	113.181	5444.55	106.369	106.369	226.208	128.548	129.667	597.628	103.671	126.121	563.111	6	585	783	10	583	587	781	785	7	13	183	17.7407	4.34705	0.753222	1	1	-1
0h_10_C4.tif	Cell_2	37937.8	59030.9	1445.5	23.8149	111.258	2331.6	89.7105	89.7105	225.095	129.542	130.164	603.572	107.794	140.943	645.496	8	585	909	8	583	587	907	911	5	11	135	6.83705	1.8094	0.313518	1	0	-1
0h_10_C4.tif	Cell_2	37982.8	49186.4	5323.93	66.8984	109.446	4124.05	107.859	107.859	297.811	126.927	128.762	586.608	87.7884	111.422	523.934	11	586	758	28	584	588	756	760	25	31	174	18.2194	4.38565	0.759911	1	1	-1
0h_10_C4.tif	Cell_2	38244.1	36643.5	1559.19	33.7477	109.59	2183.04	83.8316	83.8316	221.377	130.646	131.647	599.2	154.12	178.515	559.19	9	589	564	9	587	591	562	566	6	12	138	7.94834	2.44363	0.423413	1	0	-1
0h_10_C4.tif	Cell_2	38257.1	40333.3	2027.33	22.037	109.737	1509.06	113.001	113.001	258.548	130.862	129.222	601.093	167.067	98.2549	627.325	7	589	622	11	587	591	620	624	8	14	133	6.46335	1.45446	0.252017	1	0	-1
0h_10_C4.tif	Cell_2	38426.3	53094.5	5081.26	33.0526	109.067	1924.8	105.709	105.709	311.503	130.582	129.641	591.193	141.307	119.457	481.259	9	592	818	27	590	594	816	820	24	30	143	9.22556	2.21081	0.383071	1	1	-1
0h_10_C4.tif	Cell_2	38666	44554.6	4240.48	88.4364	110.884	6313.28	105.499	105.499	265.138	128.857	132.048	601.085	120.967	159.633	640.481	9	596	686	22	594	598	684	688	19	25	191	22.864	5.55128	0.961882	1	1	-1
0h_10_C4.tif	Cell_2	40416.2	45919.2	5148.8	17.5542	109.01	2072.02	96.9103	96.9103	372.665	129.39	131.017	597.001	116.212	159.159	548.797	10	623	707	27	621	625	705	709	24	30	132	7.08141	1.62764	0.282024	1	0	-1
0h_10_C4.tif	Cell_2	41147.2	54063.7	5221.2	65.1964	110.968	5829.62	103.613	103.613	288.571	130.27	132.966	597.701	132.236	178.707	621.199	9	634	832	27	632	636	830	834	24	30	173	16.6216	4.21472	0.730294	1	1	-1
0h_10_C4.tif	Cell_2	41393.2	41403.2	4002.44	69.5095	110.058	3757.4	96.9029	96.9029	264.144	129.314	130.03	597.394	118.209	128.189	602.436	6	638	638	21	636	640	636	640	18	24	178	21.11	4.47462	0.775327	1	1	-1
0h_10_C4.tif	Cell_2	42245.1	55322.7	935.876	35.8332	108.327	814.711	19.1267	19.1267	1154.45	130.194	129.796	601.362	125.148	137.709	735.876	10	651	852	5	649	653	850	854	2	8	125	5.46758	1.49991	0.259893	1	0	-1
0h_10_C4.tif	Cell_2	42237.6	55315.5	2809.74	26.9453	111.017	1673.48	20.56	20.56	500.852	130.276	129.381	598.535	117.567	130.532	609.741	20	651	852	15	649	653	850	854	12	18	126	5.51332	1.30439	0.226013	1	0	-1
0h_10_C4.tif	Cell_2	42235.9	55321.5	4762.94	42.2345	109.584	1330.03	17.6722	17.6722	446.182	130.078	130.256	597.748	115.89	136.525	562.943	14	651	852	25	649	653	850	854	22	28	125	5.31968	1.25642	0.217702	1	0	-1
0h_10_C4.tif	Cell_2	42230.7	55340	5966.41	193.221	108.33	1198.93	9.96645	9.96645	185.348	130.123	129.85	599.285	110.695	155.017	566.411	59	651	852	31	649	653	850	854	28	34	126	5.13305	1.20778	0.209275	1	0	-1
0h_10_C4.tif	Cell_2	42240.8	55331.7	6943.89	81.441	108.079	849.686	13.2933	13.2933	436.396	130.287	129.705	499.485	120.822	146.659	343.892	16	651	852	37	649	653	850	854	34	39	125	5.22772	1.37257	0.237828	1	0	-1
0h_10_C4.tif	Cell_2	42330.1	39504.8	3693.03	59.1527	110.501	3301.11	101.411	101.411	241.255	131.12	129.053	586.337	145.06	114.805	493.033	10	652	609	20	650	654	607	611	17	23	169	16.2423	3.74626	0.649121	1	1	-1
0h_10_C4.tif	Cell_2	42788.3	39790.9	3894.74	16.5813	109.229	1362.35	87.1151	87.1151	301.532	128.921	130.036	595.846	83.3445	140.939	494.735	10	660	613	21	658	662	611	615	18	24	126	5.4452	1.4066	0.243724	1	0	-1
0h_10_C4.tif	Cell_2	43591.8	44854.5	5697.19	73.1159	112.549	3078.09	102.691	102.691	259.18	128.378	130.467	585.389	106.823	134.496	497.191	8	672	691	30	670	674	689	693	27	33	183	19.3227	4.4845	0.777038	1	1	-1
0h_10_C4.tif	Cell_2	43957.2	44205.5	5445.8	68.5293	113.61	3416.34	99.0567	99.0567	255.286	130.878	130.449	601.275	147.189	135.533	645.797	8	677	681	28	675	679	679	683	25	31	173	18.6711	4.25891	0.73795	1	1	-1
0h_10_C4.tif	Cell_2	44254.7	41166.7	4433.43	69.6282	112.766	6596.71	107.274	107.274	246.649	129.219	131.321	599.075	119.708	151.735	633.429	8	682	634	23	680	684	632	636	20	26	183	18.4099	4.23575	0.733937	1	1	-1
0h_10_C4.tif	Cell_2	44983.8	52109.6	4805.2	67.5734	112.43	3586.15	110.833	110.833	263.187	130.351	128.414	597.666	133.782	109.577	605.202	6	693	803	25	691	695	801	805	22	28	186	17.7862	3.8967	0.675188	1	1	-1
0h_10_C4.tif	Cell_2	45199.3	55471.9	1925.28	20.6759	107.797	1748.35	118.869	118.869	396.341	130.722	130.844	607.067	154.308	156.902	725.279	13	696	854	10	694	698	852	856	7	13	134	6.59642	1.60857	0.278721	1	0	-1
0h_10_C4.tif	Cell_2	45217.5	48482.2	5238.22	81.6017	106.675	6552.28	129.144	129.144	341.778	128.089	129.191	571.832	107.55	122.165	438.218	9	697	747	28	695	699	745	749	25	31	186	19.8985	4.81515	0.834331	1	1	-1
0h_10_C4.tif	Cell_2	45694.1	53801.1	4784.45	76.2088	112.884	3943.42	103.836	103.836	260.315	129.667	128.929	595.126	129.142	111.078	584.454	6	704	829	25	702	706	827	831	22	28	184	19.7181	4.65388	0.806387	1	1	-1
0h_10_C4.tif	Cell_2	49538.9	45644.8	2821.19	16.8131	109.572	1644.17	88.2217	88.2217	343.509	130.308	128.713	600.282	138.858	79.7678	621.195	8	763	704	15	761	765	702	706	12	18	128	5.9095	1.69258	0.293277	1	0	-1
0h_10_C4.tif	Cell_2	50034	43210.4	3913	48.6673	108.132	4138.51	115.165	115.165	276.495	129.043	132.465	589.822	113.978	180.382	512.997	8	771	665	21	769	773	663	667	18	24	160	12.4343	3.33343	0.577589	1	1	-1
0h_10_C4.tif	Cell_2	50107.6	43574.2	3250.38	17.2823	110.045	3024.79	82.7174	82.7174	310.089	129.558	129.197	594.877	122.55	89.1993	450.383	13	772	672	18	770	774	670	674	15	21	127	5.56918	1.87115	0.324219	1	0	-1
0h_10_C4.tif	Cell_2	50495.5	52486.8	3877.06	28.2121	112.686	2125.95	128.662	128.662	236.398	129.777	129.105	602.869	120.54	96.7641	677.057	9	778	809	20	776	780	807	811	17	23	140	6.49519	1.59966	0.277177	1	0	-1
0h_10_C4.tif	Cell_3	60072.9	29348.6	2435.42	70.5847	113.802	4460	103.544	103.544	212.463	131.054	128.261	597.631	142.913	98.6036	635.422	8	925	453	13	923	927	451	455	10	16	179	17.2588	4.02048	0.658569	1	1	-1
0h_10_C4.tif	Cell_3	60503.2	31223.6	3006.34	17.6793	110.686	1451.55	80.8577	80.8577	209.537	129.632	130.592	597.886	118.208	153.598	606.342	8	932	481	16	930	934	479	483	13	19	133	5.36173	1.25529	0.205621	1	0	-1
0h_10_C4.tif	Cell_3	60837.8	28956.3	2833.09	59.9097	111.582	3741.27	103.3	103.3	225.861	129.494	131.653	601.427	127.806	161.329	633.087	7	937	446	15	935	939	444	448	12	18	165	14.1103	3.67878	0.602598	1	1	-1
0h_10_C4.tif	Cell_3	61807.5	31965.3	2384.48	67.5309	112.735	3490.12	94.7633	94.7633	225.244	129.821	132.98	594.068	122.516	180.267	584.482	8	952	492	13	950	954	490	494	10	16	176	18.0525	4.34277	0.711363	1	1	-1
0h_10_C4.tif	Cell_3	62130.1	31684.2	1858.97	13.6788	108.061	2981.51	151.9	151.9	439.202	129.938	130.432	608.594	120.082	159.172	858.967	11	957	488	9	955	959	486	490	6	12	128	5.0842	1.45655	0.238589	1	0	-1
0h_10_C4.tif	Cell_3	62665.7	26079.7	1724.78	14.158	107.847	2367.18	100.901	100.901	378.475	130.384	130.295	604.282	135.744	144.672	724.782	11	965	402	9	963	967	400	404	6	12	125	5.3029	1.43105	0.234411	1	0	-1
0h_10_C4.tif	Cell_3	62814.8	26995.3	2234.62	88.3067	111.656	6430.01	101.969	101.969	247.211	132.098	131.673	602.553	154.77	150.299	634.622	7	967	416	12	965	969	414	418	9	15	195	22.8057	5.62354	0.921157	1	1	-1
0h_10_C4.tif	Cell_3	64012.7	22396.5	2826.04	19.2732	111.217	3700.67	90.4594	90.4594	302.899	128.087	130.233	600.497	52.7194	101.522	626.043	13	987	346	15	985	989	344	348	12	18	133	5.38222	2.06146	0.337675	1	0	-1
0h_10_C4.tif	Cell_3	65270.7	33265.6	3041.28	74.1401	113.008	6549.11	117.605	117.605	262.296	129.958	128.947	600.948	140.719	115.623	641.283	9	1005	513	16	1003	1007	511	515	13	19	188	18.786	4.29425	0.703414	1	1	-1
0h_10_C4.tif	Cell_3	65590.8	28155.3	569.23	39.2954	107.609	1190.59	18.897	18.897	441.16	130.496	130.837	500.702	135.792	140.335	569.23	10	1010	434	3	1008	1012	432	436	1	6	124	5.20409	1.39332	0.22823	1	0	-1
0h_10_C4.tif	Cell_3	65593.6	28206.5	3248.26	11.6656	102.408	2282.06	202.929	202.929	957.939	130.128	130.892	595.826	138.618	191.517	248.261	14	1010	434	19	1008	1012	432	436	16	22	127	5.47781	1.24276	0.203569	1	0	-1
0h_10_C4.tif	Cell_3	66909.1	36323.4	2147.52	82.7049	106.549	8015.84	117.455	117.455	272.196	132.025	129.087	588.622	154.054	118.404	547.521	8	1030	560	12	1028	1032	558	562	9	15	181	20.966	5.00191	0.819332	1	1	-1
