FISH-QUANT	
RESULTS OF SPOT DETECTION PERFORMED ON 09-May-2021 
COMMENT	Batch detection
FILE	__SUMMARY_OF_MANY_FILES___
FILTERED	__SUMMARY_OF_MANY_FILES___
PARAMETERS
Pix-XY	Pix-Z	RI	Ex	Em	NA	Type
79.7	200	1.45	550	570	1.4	confocal
ANALYSIS-SETTINGS 	_FQ_batch_settings_MATURE_210509.txt
CELL	NO_CELLS_DEFINED
X_POS	0	END
Y_POS	0	END
SPOTS
File	Cell	Pos_Y	Pos_X	Pos_Z	AMP	BGD	RES	SigmaX	SigmaY	SigmaZ	Cent_Y	Cent_X	Cent_Z	MuY	MuX	MuZ	ITERY_det	Y_det	X_det	Z_det	Y_min	Y_max	X_min	X_max	Z_min	Z_max	INT_raw	INT_filt	SC_det	SC_det_norm	TH_det	TH_fit	in_Nuc
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	3451.69	8911.89	3958.21	1386.3	121.481	4.46037e+06	107.046	107.046	123.876	180.985	154.823	932.25	183.995	144.891	758.208	12	44	113	21	42	46	111	115	17	25	1229	383	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	3792.78	10205.8	9450.83	4.04029e+06	197.513	1.0004e+06	111.449	111.449	831.554	149.685	162.625	498.956	126.583	163.593	4250.83	87	49	129	31	47	51	127	131	27	31	965	350	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	4780.46	9096.64	1928.31	428.094	6.39481e-06	2.80233e+06	248.307	248.307	372.053	158.563	162.446	995.691	157.864	170.237	928.311	12	61	115	10	59	63	113	117	6	14	764	202	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	5336.69	5585.31	5981.4	852.793	178.103	973953	112.372	112.372	230.578	155.292	167.77	516.302	156.194	165.712	781.403	13	68	71	31	66	70	69	73	27	31	1087	416	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	5353.11	10164.2	3252.48	696.719	201.507	1.18885e+06	113.871	113.871	207.776	163.692	153.612	804.617	172.61	122.03	852.484	9	68	129	17	66	70	127	131	13	21	843	272	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	5897.08	8124.34	3313.53	1759.66	213.036	3.62443e+06	116.215	116.215	230.25	158.345	160.584	728.109	158.683	154.337	713.527	8	75	103	18	73	77	101	105	14	22	2074	729	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	6019.93	4903.77	5845.66	588.074	189.248	952564	117.874	117.874	213.679	145.318	170.414	470.875	122.13	201.469	645.665	14	77	62	31	75	79	60	64	27	31	761	265	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	6146.57	4229.33	5626.53	902.537	215.331	4.44441e+06	88.1736	88.1736	317.501	165.018	167.601	660.648	169.074	164.631	826.534	14	78	54	29	76	80	52	56	25	31	1087	398	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	6237.32	8508.98	4735.04	992.484	187.033	2.23854e+06	118.406	118.406	246.709	169.31	158.871	756.437	180.117	140.48	735.04	9	79	108	25	77	81	106	110	21	29	1332	413	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	6640.79	4494.01	3644.57	1373.55	206.68	2.59177e+06	107.672	107.672	200.792	168.016	171.154	811.834	185.092	190.209	844.566	9	84	57	19	82	86	55	59	15	23	1400	492	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	6704.6	2993.83	2341.55	1371.98	186.619	2.31369e+06	105.545	105.545	248.989	163.087	149.534	759.107	169.198	124.626	741.55	9	85	39	13	83	87	37	41	9	17	1470	554	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	6776.91	9098.99	-3405.99	2.60404e+08	169.228	1.43748e+06	99.0033	99.0033	686.552	163.048	157.953	262.626	161.815	172.587	-3405.99	87	86	115	1	84	88	113	117	1	5	1335	482	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	6800.43	9083.23	3173.01	1289.88	240.319	2.49784e+06	116.006	116.006	198.658	168.24	162.741	774.188	185.333	156.835	773.011	11	86	115	17	84	88	113	117	13	21	1392	489	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	6847.85	6522.87	3599.81	1372.38	182.049	2.76008e+06	104.891	104.891	201.89	158.29	159.737	767.727	153.05	146.872	799.814	10	87	83	19	85	89	81	85	15	23	1500	510	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	6831.75	11621	2184.91	1410.08	250.417	2.58811e+06	102.689	102.689	217.791	155.94	159.38	787.533	136.954	144.249	784.907	9	87	147	12	85	89	145	149	8	16	1560	568	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	6923.39	7187.88	3124.71	1278	208.094	2.0087e+06	104.015	104.015	171.582	153.179	168.042	752.79	148.885	174.284	724.711	11	88	91	17	86	90	89	93	13	21	1334	428	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	6924.46	8658.53	4495.67	1015.48	225.745	1.92457e+06	103.426	103.426	178.435	158.766	155.091	815.221	149.965	130.633	895.669	9	88	110	23	86	90	108	112	19	27	1155	327	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	6985.35	3811.3	3325.21	1167.86	217.931	1.84724e+06	111.141	111.141	199.453	152.831	160.931	755.39	131.147	145.099	725.211	9	89	49	18	87	91	47	51	14	22	1313	427	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	7148.75	8991.35	2819.46	1320.75	256.003	3.24029e+06	101.771	101.771	240.323	149.722	157.349	835.69	135.153	144.654	819.461	8	91	114	15	89	93	112	116	11	19	1471	511	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	7251.39	4589.54	3527.85	835.556	199.619	1.24488e+06	105.987	105.987	211.671	159.897	152.786	780.516	158.093	126.344	727.849	8	92	59	19	90	94	57	61	15	23	972	293	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	7254.87	9935.4	3199.3	1325.41	246.826	2.12666e+06	111.178	111.178	191.938	159.843	155.008	793.208	161.574	132.3	799.297	11	92	126	17	90	94	124	128	13	21	1429	515	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	7309.12	4148.04	4835.67	694.307	166.115	2.1907e+06	109.527	109.527	235.834	155.89	169.69	735.981	136.12	163.04	835.669	13	93	53	25	91	95	51	55	21	29	961	274	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	7399.34	6727.6	4604.45	842.883	208.61	1.62531e+06	102.953	102.953	228.946	158.822	163.662	793.701	146.642	192.205	804.449	8	94	85	24	92	96	83	87	20	28	912	328	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	7598.33	8944.47	3892.31	1460.44	260.471	4.60605e+06	122.973	122.973	195.242	162.658	164.576	817.327	186.232	177.472	892.31	11	96	113	20	94	98	111	115	16	24	1782	563	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	7615.66	4026.36	2990.18	1223.75	194.025	2.03198e+06	98.0615	98.0615	224.976	144.677	148.224	788.468	123.863	121.057	790.179	9	97	52	16	95	99	50	54	12	20	1194	423	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	7822.79	10534.3	3146.04	831.231	260.637	3.70748e+06	144.303	144.303	241.706	158.663	166.709	765.761	171.588	173.277	746.04	11	99	133	17	97	101	131	135	13	21	1244	417	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	7972.28	8596.7	4330.21	1352.13	229.862	2.4084e+06	105.834	105.834	181.241	163.017	164.161	771.712	161.679	148.5	730.21	10	101	109	23	99	103	107	111	19	27	1415	453	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	8120.8	8986.44	4590.81	1202.98	113.062	5.9558e+06	129.216	129.216	213.039	154.412	150.119	624.324	150.801	139.741	790.808	23	103	114	24	101	105	112	116	20	28	1251	470	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	8250.22	7934.27	4108.26	1223.66	230.984	1.84982e+06	117.384	117.384	156.206	169.621	154.405	844.178	200.516	123.667	908.256	11	104	101	21	102	106	99	103	17	25	1264	371	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	8256.5	6932.23	3437.97	1203.93	226.877	1.80146e+06	99.4641	99.4641	186.564	153.442	162.646	801.128	127.1	157.73	837.971	10	105	88	18	103	107	86	90	14	22	1312	404	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	8325.47	11331	2745.77	817.865	229.698	2.1552e+06	92.8957	92.8957	223.155	167.332	169.65	748.908	196.071	172.96	745.77	13	105	143	15	103	107	141	145	11	19	1235	296	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	8474.06	8589.83	3225.37	1009.41	248.846	2.30186e+06	101.899	101.899	178.692	168.139	161.882	826.367	185.263	141.628	825.375	10	107	109	17	105	109	107	111	13	21	1055	344	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	8486.48	2546.15	3361.04	953.653	107.937	2.50712e+06	133.276	133.276	231.739	146.122	162.573	685.586	117.983	155.152	761.037	11	108	33	18	106	110	31	35	14	22	1235	392	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	8508.94	10610.9	1776.45	1718.9	255.71	3.11744e+06	99.9812	99.9812	209.28	155.286	163.235	786.593	140.444	170.202	776.449	8	108	134	10	106	110	132	136	6	14	1904	622	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	8586.89	4826.5	3464.45	695.143	195.562	935854	95.4465	95.4465	197.187	156.65	154.5	820.949	138.685	124.201	864.45	8	109	62	18	107	111	60	64	14	22	871	227	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	8574.05	9159.95	3490.06	1307.17	291.787	6.81654e+06	100.752	100.752	192.412	147.313	146.732	795.498	125.851	153.849	690.06	32	109	116	19	107	111	114	118	15	23	1449	465	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	8657.29	3745.66	3847.49	1156.56	177.668	1.74702e+06	112.5	112.5	168.483	150.541	162.068	805.25	129.392	159.16	847.494	10	110	48	20	108	112	46	50	16	24	1240	403	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	8946.53	7418.5	4296.99	1062.21	219.886	1.38283e+06	103.099	103.099	172.152	165.311	161.459	743.075	179.529	165.799	696.992	9	113	94	23	111	115	92	96	19	27	1080	325	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	8951.79	10668.7	2429.53	1688.11	329.673	5.01243e+06	103.508	103.508	287.215	166.751	160.462	841.344	184.787	148.252	829.527	8	113	135	13	111	115	133	137	9	17	1928	723	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	8989.87	11316.6	2974.79	1363.45	174.156	7.58857e+06	142.644	142.644	283.776	155.984	160.639	735.68	143.171	158.56	774.795	12	114	143	16	112	116	141	145	12	20	1800	660	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	9197.13	6829.42	3407.34	1471.13	216.634	1.57107e+06	109.249	109.249	180.554	166.375	155.866	811.783	191.029	134.622	807.337	8	116	87	18	114	118	85	89	14	22	1518	506	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	9210.11	7596.84	2833.03	932.117	168.233	6.11581e+06	117.504	117.504	723.273	176.561	140.743	917.122	204.01	105.041	1233.03	12	116	97	13	114	118	95	99	9	17	1397	435	0	0	1	1	-1
negative_positive_5ADVMLE.vsi1-1.tif	Cell_1	9296.51	2523.46	798.292	1090.95	90.6704	2.53302e+06	128.996	128.996	220.404	154.558	153.778	898.508	131.015	132.458	798.292	9	118	33	5	116	120	31	35	1	9	1051	420	0	0	1	1	-1
