group,total.count,overlap.count,percentage.overlap,category
C3-on-C4,306,296,96.73202614379085,ODD-on-EVEN
C3-on-C4,67,64,95.52238805970148,ODD-on-EVEN
C3-on-C4,148,143,96.62162162162163,ODD-on-EVEN
C3-on-C4,146,138,94.52054794520548,ODD-on-EVEN
C3-on-C4,266,250,93.98496240601504,ODD-on-EVEN
C3-on-C4,188,177,94.14893617021278,ODD-on-EVEN
C4-on-C3,310,299,96.45161290322581,EVEN-on-ODD
C4-on-C3,68,64,94.11764705882352,EVEN-on-ODD
C4-on-C3,148,143,96.62162162162163,EVEN-on-ODD
C4-on-C3,147,138,93.87755102040816,EVEN-on-ODD
C4-on-C3,265,250,94.33962264150944,EVEN-on-ODD
C4-on-C3,187,178,95.18716577540107,EVEN-on-ODD
