cell_id,time.adj,dsRNA_density,condition,repeat_exp
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_1,2,0.898797446,INF,R1
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_10,2,0.855384441,INF,R1
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_11,2,1.045249738,INF,R1
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_12,2,0.44023372,INF,R1
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_13,2,1.035854045,INF,R1
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_14,2,0.425785839,INF,R1
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_15,2,1.67991316,INF,R1
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_2,2,0.681628356,INF,R1
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_3,2,1.513929024,INF,R1
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_4,2,0.41669784,INF,R1
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_5,2,0.539030876,INF,R1
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_6,2,1.345387325,INF,R1
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_7,2,0.808273521,INF,R1
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_8,2,1.915868014,INF,R1
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_9,2,1.490370053,INF,R1
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_1,2,1.125915622,INF,R1
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_10,2,0.466950303,INF,R1
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_13,2,0.911095826,INF,R1
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_14,2,1.797312708,INF,R1
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_16,2,1.966691829,INF,R1
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_17,2,0.877627528,INF,R1
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_18,2,1.553631723,INF,R1
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_19,2,0.571821227,INF,R1
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_2,2,0.498499321,INF,R1
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_3,2,0.575125687,INF,R1
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_4,2,1.984671023,INF,R1
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_5,2,1.13609638,INF,R1
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_6,2,0.869856738,INF,R1
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_7,2,1.38748801,INF,R1
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_8,2,1.642500466,INF,R1
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_9,2,0.461527607,INF,R1
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_1,2,0.941065894,INF,R2
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_10,2,0.641279837,INF,R2
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_11,2,1.3512627,INF,R2
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_12,2,0.436746,INF,R2
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_13,2,1.280577071,INF,R2
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_14,2,0.802156824,INF,R2
