cell_id,condition,total_count,time.adj,repeat_exp
0h_1_outline_TS_detect_AUTO_200.txt_Cell_1,INF,181.826896,2,R1
0h_1_outline_TS_detect_AUTO_200.txt_Cell_2,INF,154.593752,2,R1
0h_1_outline_TS_detect_AUTO_200.txt_Cell_3,INF,27.086136,2,R1
0h_1_outline_TS_detect_AUTO_200.txt_Cell_4,INF,38.93348,2,R1
0h_1_outline_TS_detect_AUTO_200.txt_Cell_5,INF,9.865264,2,R1
0h_10_outline_TS_detect_AUTO_200.txt_Cell_2,INF,41.997344,2,R2
0h_10_outline_TS_detect_AUTO_200.txt_Cell_3,INF,22.551864,2,R2
0h_10_outline_TS_detect_AUTO_200.txt_Cell_4,INF,35.648096,2,R2
0h_10_outline_TS_detect_AUTO_200.txt_Cell_5,INF,20.874576,2,R2
0h_10_outline_TS_detect_AUTO_200.txt_Cell_6,INF,75.770488,2,R2
0h_10_outline_TS_detect_AUTO_200.txt_Cell_7,INF,43.079128,2,R2
0h_10_outline_TS_detect_AUTO_200.txt_Cell_8,INF,25.943416,2,R2
0h_10_outline_TS_detect_AUTO_200.txt_Cell_9,INF,9.9,2,R2
0h_11_outline_TS_detect_AUTO_200.txt_Cell_1,INF,93.518008,2,R2
0h_11_outline_TS_detect_AUTO_200.txt_Cell_2,INF,54.880096,2,R2
0h_11_outline_TS_detect_AUTO_200.txt_Cell_3,INF,43.59368,2,R2
0h_11_outline_TS_detect_AUTO_200.txt_Cell_4,INF,44.799632,2,R2
0h_12_outline_TS_detect_AUTO_200.txt_Cell_1,INF,153.702488,2,R2
0h_12_outline_TS_detect_AUTO_200.txt_Cell_2,INF,58.568376,2,R2
0h_12_outline_TS_detect_AUTO_200.txt_Cell_3,INF,27,2,R2
0h_12_outline_TS_detect_AUTO_200.txt_Cell_4,INF,12.6,2,R2
0h_13_outline_TS_detect_AUTO_200.txt_Cell_1,INF,71.055888,2,R2
0h_13_outline_TS_detect_AUTO_200.txt_Cell_2,INF,50.498952,2,R2
0h_13_outline_TS_detect_AUTO_200.txt_Cell_3,INF,45.432928,2,R2
0h_13_outline_TS_detect_AUTO_200.txt_Cell_4,INF,102.630344,2,R2
0h_13_outline_TS_detect_AUTO_200.txt_Cell_5,INF,28.426328,2,R2
0h_13_outline_TS_detect_AUTO_200.txt_Cell_6,INF,20.776608,2,R2
0h_13_outline_TS_detect_AUTO_200.txt_Cell_7,INF,30.61812,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_1,INF,164.833128,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_2,INF,47.92888,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_3,INF,21.6,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_4,INF,37.8,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_5,INF,34.845568,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_6,INF,69.51024,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_7,INF,21.548968,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_8,INF,56.827384,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_9,INF,12.406952,2,R2
0h_15_outline_TS_detect_AUTO_200.txt_Cell_1,INF,44.083016,2,R2
0h_15_outline_TS_detect_AUTO_200.txt_Cell_2,INF,24.109824,2,R2
0h_15_outline_TS_detect_AUTO_200.txt_Cell_3,INF,98.108512,2,R2
0h_15_outline_TS_detect_AUTO_200.txt_Cell_4,INF,19.81024,2,R2
0h_15_outline_TS_detect_AUTO_200.txt_Cell_5,INF,16.083136,2,R2
0h_15_outline_TS_detect_AUTO_200.txt_Cell_6,INF,25.61424,2,R2
0h_15_outline_TS_detect_AUTO_200.txt_Cell_7,INF,8.1,2,R2
