Time,condition,Count,smFISH_positive,Image,p.infected
2hpi,INF,38,33,MAX_INF_0h_201_C1.tif,86.84210526
2hpi,INF,54,46,MAX_INF_0h_202_C1.tif,85.18518519
2hpi,INF,56,43,MAX_INF_0h_203_C1.tif,76.78571429
2hpi,INF,58,41,MAX_INF_0h_204_C1.tif,70.68965517
2hpi,INF,50,46,MAX_INF_0h_205_C1.tif,92
2hpi,INF,43,36,MAX_INF_0h_206_C1.tif,83.72093023
2hpi,INF,33,31,MAX_INF_0h_207_C1.tif,93.93939394
2hpi,INF,35,30,MAX_INF_0h_208_C1.tif,85.71428571
2hpi,INF,49,38,MAX_INF_0h_209_C1.tif,77.55102041
2hpi,INF,35,27,MAX_INF_0h_210_C1.tif,77.14285714
2hpi,INF,36,31,MAX_INF_0h_211_C1.tif,86.11111111
2hpi,INF,43,37,MAX_INF_0h_212_C1.tif,86.04651163
MOCK,MOCK,30,0,Mock-of-CoV-FISH-02_experiments,0
MOCK,MOCK,30,0,Mock-of-CoV-FISH-02_experiments,0
MOCK,MOCK,30,0,Mock-of-CoV-FISH-02_experiments,0
MOCK,MOCK,30,1,Mock-of-CoV-FISH-02_experiments,3.333333333
MOCK,MOCK,30,2,Mock-of-CoV-FISH-02_experiments,6.666666667
MOCK,MOCK,30,0,Mock-of-CoV-FISH-02_experiments,0
MOCK,MOCK,30,0,Mock-of-CoV-FISH-02_experiments,0
MOCK,MOCK,30,1,Mock-of-CoV-FISH-02_experiments,3.333333333
MOCK,MOCK,30,0,Mock-of-CoV-FISH-02_experiments,0
MOCK,MOCK,30,1,Mock-of-CoV-FISH-02_experiments,3.333333333
MOCK,MOCK,30,0,Mock-of-CoV-FISH-02_experiments,0
6hpi,INF,76,62,MAX_INF_4h_213_C1.tif,81.57894737
6hpi,INF,55,40,MAX_INF_4h_214_C1.tif,72.72727273
6hpi,INF,69,50,MAX_INF_4h_215_C1.tif,72.46376812
6hpi,INF,64,47,MAX_INF_4h_216_C1.tif,73.4375
6hpi,INF,65,55,MAX_INF_4h_217_C1.tif,84.61538462
6hpi,INF,35,31,MAX_INF_4h_218_C1.tif,88.57142857
6hpi,INF,77,63,MAX_INF_4h_219_C1.tif,81.81818182
6hpi,INF,31,24,MAX_INF_4h_220_C1.tif,77.41935484
6hpi,INF,53,49,MAX_INF_4h_221_C1.tif,92.45283019
6hpi,INF,36,30,MAX_INF_4h_222_C1.tif,83.33333333
6hpi,INF,18,17,MAX_INF_4h_223_C1.tif,94.44444444
6hpi,INF,35,28,MAX_INF_4h_224_C1.tif,80
2hpi,INF,9,9,CoV-FISH-01_images,100
2hpi,INF,9,9,CoV-FISH-01_images,100
2hpi,INF,6,6,CoV-FISH-01_images,100
2hpi,INF,11,10,CoV-FISH-01_images,90.90909091
2hpi,INF,12,11,CoV-FISH-01_images,91.66666667
2hpi,INF,11,11,CoV-FISH-01_images,100
2hpi,INF,23,22,CoV-FISH-01_images,95.65217391
2hpi,INF,16,15,CoV-FISH-01_images,93.75
2hpi,INF,20,19,CoV-FISH-01_images,95
6hpi,INF,18,17,CoV-FISH-01_images,94.44444444
6hpi,INF,17,16,CoV-FISH-01_images,94.11764706
6hpi,INF,18,16,CoV-FISH-01_images,88.88888889
6hpi,INF,14,12,CoV-FISH-01_images,85.71428571
6hpi,INF,23,22,CoV-FISH-01_images,95.65217391
6hpi,INF,22,21,CoV-FISH-01_images,95.45454545
6hpi,INF,19,19,CoV-FISH-01_images,100
6hpi,INF,23,21,CoV-FISH-01_images,91.30434783
6hpi,INF,28,26,CoV-FISH-01_images,92.85714286
6hpi,INF,14,13,CoV-FISH-01_images,92.85714286
