Label,data_type,p_NCed_4000,p_NCed_stringent,count
06h_INF_100x_02_bfspots_ch3_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,gRNA Observed,65.86433260393873,74.01531728665208,1828
06h_INF_100x_02_bfspots_sg2_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,sgRNA Observed,10.40942448821939,16.879103901120125,10356
06h_INF_100x_02_random_coord_ch3_0_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,gRNA Random,0.4923413566739606,1.2582056892778994,1828
06h_INF_100x_02_random_coord_ch3_1_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,gRNA Random,0.9846827133479212,1.9146608315098468,1828
06h_INF_100x_02_random_coord_ch3_2_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,gRNA Random,0.5470459518599562,1.3676148796498906,1828
06h_INF_100x_02_random_coord_ch3_3_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,gRNA Random,1.148796498905908,1.6411378555798686,1828
06h_INF_100x_02_random_coord_ch3_4_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,gRNA Random,0.87527352297593,1.3676148796498906,1828
06h_INF_100x_02_random_coord_ch3_5_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,gRNA Random,1.2582056892778994,1.9693654266958425,1828
06h_INF_100x_02_random_coord_ch3_6_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,gRNA Random,0.7111597374179431,1.4223194748358863,1828
06h_INF_100x_02_random_coord_ch3_7_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,gRNA Random,0.8205689277899343,1.6958424507658645,1828
06h_INF_100x_02_random_coord_ch3_8_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,gRNA Random,0.6564551422319475,1.6958424507658645,1828
06h_INF_100x_02_random_coord_ch3_9_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,gRNA Random,0.87527352297593,1.4223194748358863,1828
06h_INF_100x_02_random_coord_sg2_0_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,sgRNA Random,0.7532592950265572,1.4775470787059393,10355
06h_INF_100x_02_random_coord_sg2_1_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,sgRNA Random,0.8981168517624337,1.7286335103814583,10355
06h_INF_100x_02_random_coord_sg2_2_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,sgRNA Random,0.7822308063737324,1.7382906808305165,10355
06h_INF_100x_02_random_coord_sg2_3_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,sgRNA Random,0.9269988412514484,1.5836230204712243,10356
06h_INF_100x_02_random_coord_sg2_4_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,sgRNA Random,0.7436021245774989,1.545147271849348,10355
06h_INF_100x_02_random_coord_sg2_5_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,sgRNA Random,0.9174311926605505,1.883148237566393,10355
06h_INF_100x_02_random_coord_sg2_6_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,sgRNA Random,0.8884596813133752,1.651376146788991,10355
06h_INF_100x_02_random_coord_sg2_7_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,sgRNA Random,0.8208594881699662,1.448575567358764,10355
06h_INF_100x_02_random_coord_sg2_8_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,sgRNA Random,0.7918879768227909,1.4099468855625301,10355
06h_INF_100x_02_random_coord_sg2_9_ellipse.tif:DUP_06h_INF_100x_02_N_bgs.tif,sgRNA Random,0.840173829068083,1.7382906808305165,10355
06h_INF_100x_03_bfspots_ch3_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,gRNA Observed,72.62124002455495,79.37384898710866,1629
06h_INF_100x_03_bfspots_sg2_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,sgRNA Observed,19.979476654694714,28.373524884556183,9745
06h_INF_100x_03_random_coord_ch3_0_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,gRNA Random,0.9208103130755065,2.271332105586249,1629
06h_INF_100x_03_random_coord_ch3_1_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,gRNA Random,0.7366482504604052,1.9030079803560467,1629
06h_INF_100x_03_random_coord_ch3_2_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,gRNA Random,1.4732965009208103,3.314917127071823,1629
06h_INF_100x_03_random_coord_ch3_3_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,gRNA Random,1.1663597298956414,2.7624309392265194,1629
06h_INF_100x_03_random_coord_ch3_4_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,gRNA Random,1.289134438305709,2.148557397176182,1629
06h_INF_100x_03_random_coord_ch3_5_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,gRNA Random,0.9208103130755065,2.087170042971148,1629
06h_INF_100x_03_random_coord_ch3_6_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,gRNA Random,1.6574585635359116,2.7624309392265194,1629
06h_INF_100x_03_random_coord_ch3_7_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,gRNA Random,1.1049723756906076,2.394106813996317,1629
06h_INF_100x_03_random_coord_ch3_8_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,gRNA Random,1.5346838551258442,2.6396562308164517,1629
06h_INF_100x_03_random_coord_ch3_9_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,gRNA Random,0.7366482504604052,1.780233271945979,1629
06h_INF_100x_03_random_coord_sg2_0_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,sgRNA Random,0.9851205746536685,2.0112878399179066,9745
06h_INF_100x_03_random_coord_sg2_1_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,sgRNA Random,1.0569522832221652,2.185736275012827,9745
06h_INF_100x_03_random_coord_sg2_2_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,sgRNA Random,1.07747562852745,1.9189327860441252,9745
06h_INF_100x_03_random_coord_sg2_3_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,sgRNA Random,0.9132888660851719,1.8060543868650591,9745
06h_INF_100x_03_random_coord_sg2_4_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,sgRNA Random,1.098224366211639,2.1656573950528584,9743
06h_INF_100x_03_random_coord_sg2_5_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,sgRNA Random,0.8106721395587481,1.7855310415597743,9745
06h_INF_100x_03_random_coord_sg2_6_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,sgRNA Random,0.9851205746536685,1.8368394048229861,9745
06h_INF_100x_03_random_coord_sg2_7_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,sgRNA Random,0.9030271934325296,1.6418676244227808,9745
06h_INF_100x_03_random_coord_sg2_8_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,sgRNA Random,1.1699507389162562,1.9601806239737274,9744
06h_INF_100x_03_random_coord_sg2_9_ellipse.tif:DUP_06h_INF_100x_03_N_bgs.tif,sgRNA Random,0.9544334975369458,1.7344006568144499,9744
06h_INF_100x_04_bfspots_ch3_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,gRNA Observed,81.56158920079767,84.81362172112287,6519
06h_INF_100x_04_bfspots_sg2_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,sgRNA Observed,20.92555331991952,29.17037106359085,21371
06h_INF_100x_04_random_coord_ch3_0_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,gRNA Random,2.65378125479368,4.387175947231171,6519
06h_INF_100x_04_random_coord_ch3_1_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,gRNA Random,2.6231017027151404,4.126399754563583,6519
06h_INF_100x_04_random_coord_ch3_2_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,gRNA Random,2.408344838165363,4.080380426445774,6519
06h_INF_100x_04_random_coord_ch3_3_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,gRNA Random,2.4697039423224423,4.371836171191901,6519
06h_INF_100x_04_random_coord_ch3_4_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,gRNA Random,2.63844147875441,4.46387482742752,6519
06h_INF_100x_04_random_coord_ch3_5_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,gRNA Random,2.3930050621260928,4.080380426445774,6519
06h_INF_100x_04_random_coord_ch3_6_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,gRNA Random,2.3623255100475533,3.865623561895996,6519
06h_INF_100x_04_random_coord_ch3_7_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,gRNA Random,2.761159687068569,4.218438410799203,6519
06h_INF_100x_04_random_coord_ch3_8_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,gRNA Random,2.0095106611443474,3.5128087129927903,6519
06h_INF_100x_04_random_coord_ch3_9_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,gRNA Random,2.592819883399816,4.019637925744093,6518
06h_INF_100x_04_random_coord_sg2_0_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,sgRNA Random,2.4240722542000093,4.024521503111984,21369
06h_INF_100x_04_random_coord_sg2_1_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,sgRNA Random,2.480576617055134,3.9174389216512213,21366
06h_INF_100x_04_random_coord_sg2_2_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,sgRNA Random,2.5411830774990642,4.263384500187196,21368
06h_INF_100x_04_random_coord_sg2_3_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,sgRNA Random,2.3958820776789893,3.9681796911558256,21370
06h_INF_100x_04_random_coord_sg2_4_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,sgRNA Random,2.5040954832670255,4.203135970044465,21365
06h_INF_100x_04_random_coord_sg2_5_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,sgRNA Random,2.4193925780336003,3.9683653891150734,21369
06h_INF_100x_04_random_coord_sg2_6_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,sgRNA Random,2.485256950294861,4.132734250678649,21366
06h_INF_100x_04_random_coord_sg2_7_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,sgRNA Random,2.3631258773982218,4.169396350023398,21370
06h_INF_100x_04_random_coord_sg2_8_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,sgRNA Random,2.4847917641553576,4.052409920449228,21370
06h_INF_100x_04_random_coord_sg2_9_ellipse.tif:DUP_06h_INF_100x_04_N_bgs.tif,sgRNA Random,2.3491974355374605,4.132154054939398,21369
06h_INF_100x_05_bfspots_ch3_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,gRNA Observed,85.49608841425555,87.68160933813486,8053
06h_INF_100x_05_bfspots_sg2_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Observed,21.391012493007644,29.46112250606004,26815
06h_INF_100x_05_random_coord_ch3_0_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,gRNA Random,2.509005092535089,4.223077878524407,8051
06h_INF_100x_05_random_coord_ch3_1_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,gRNA Random,2.8933316776356635,4.346206382714516,8053
06h_INF_100x_05_random_coord_ch3_2_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,gRNA Random,2.483546504408295,3.9612566745312305,8053
06h_INF_100x_05_random_coord_ch3_3_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,gRNA Random,2.7570789865871834,4.334326875310482,8052
06h_INF_100x_05_random_coord_ch3_4_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,gRNA Random,2.608047690014903,4.0735221063089915,8052
06h_INF_100x_05_random_coord_ch3_5_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,gRNA Random,2.6077238296287097,4.271699987582267,8053
06h_INF_100x_05_random_coord_ch3_6_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,gRNA Random,2.719483422327083,4.271699987582267,8053
06h_INF_100x_05_random_coord_ch3_7_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,gRNA Random,2.6456340827226432,4.086448888336853,8051
06h_INF_100x_05_random_coord_ch3_8_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,gRNA Random,2.9678380727679126,4.4828014404569725,8053
06h_INF_100x_05_random_coord_ch3_9_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,gRNA Random,2.5456351670185025,4.010927604619397,8053
06h_INF_100x_05_random_coord_sg2_0_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Random,2.666815859162284,4.263175562269217,26811
06h_INF_100x_05_random_coord_sg2_1_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Random,2.651896609600537,4.196038939241356,26811
06h_INF_100x_05_random_coord_sg2_2_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Random,2.6105765644812413,4.038934884761692,26814
06h_INF_100x_05_random_coord_sg2_3_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Random,2.5510965239445027,4.057884529315232,26812
06h_INF_100x_05_random_coord_sg2_4_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Random,2.6106739268265393,4.106217133480029,26813
06h_INF_100x_05_random_coord_sg2_5_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Random,2.502517435572297,4.012978778950509,26813
06h_INF_100x_05_random_coord_sg2_6_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Random,2.4690437117708486,3.8788602118454425,26812
06h_INF_100x_05_random_coord_sg2_7_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Random,2.6817351087240313,4.069225317966507,26811
06h_INF_100x_05_random_coord_sg2_8_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Random,2.7266962587190866,4.211272333917714,26809
06h_INF_100x_05_random_coord_sg2_9_ellipse.tif:DUP_06h_INF_100x_05_N_bgs.tif,sgRNA Random,2.5961430862769963,4.0284978924987875,26809
06h_INF_100x_06_bfspots_ch3_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Observed,74.75903614457832,80.24096385542168,3320
06h_INF_100x_06_bfspots_sg2_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Observed,15.59018822367338,24.342863414366462,18223
06h_INF_100x_06_random_coord_ch3_0_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.1144578313253013,2.2289156626506026,3320
06h_INF_100x_06_random_coord_ch3_1_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.2349397590361446,2.680722891566265,3320
06h_INF_100x_06_random_coord_ch3_2_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.4759036144578312,2.7409638554216866,3320
06h_INF_100x_06_random_coord_ch3_3_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.3253012048192772,2.6506024096385543,3320
06h_INF_100x_06_random_coord_ch3_4_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.2650602409638554,2.6204819277108435,3320
06h_INF_100x_06_random_coord_ch3_5_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.4759036144578312,2.8313253012048194,3320
06h_INF_100x_06_random_coord_ch3_6_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.1746987951807228,2.6506024096385543,3320
06h_INF_100x_06_random_coord_ch3_7_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.7771084337349399,3.0120481927710845,3320
06h_INF_100x_06_random_coord_ch3_8_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.2349397590361446,2.891566265060241,3320
06h_INF_100x_06_random_coord_ch3_9_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,gRNA Random,1.2349397590361446,2.2590361445783134,3320
06h_INF_100x_06_random_coord_sg2_0_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Random,1.3062568605927551,2.469813391877058,18220
06h_INF_100x_06_random_coord_sg2_1_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Random,1.3116013609922073,2.5189331577214356,18222
06h_INF_100x_06_random_coord_sg2_2_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Random,1.41602634467618,2.535675082327113,18220
06h_INF_100x_06_random_coord_sg2_3_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Random,1.3832473377977823,2.788450982544736,18218
06h_INF_100x_06_random_coord_sg2_4_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Random,1.5202239174578782,2.650787552823665,18221
06h_INF_100x_06_random_coord_sg2_5_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Random,1.1744690192634872,2.4696778442456506,18221
06h_INF_100x_06_random_coord_sg2_6_ellipse.tif:DUP_06h_INF_100x_06_N_bgs.tif,sgRNA Random,1.1524530786960816,2.409175721655142,18222
