cell_id,Area,Channel,IntDen,RawIntDen,time,condition,repeat_exp,mock_bg_den,sub_RawIntDen,sm_mean_int,RNA_count
CoV-FISH-06B_R1_24h_INF_00001_1,224.971,gRNA,844877.017,72635035,24,Untreated,R1,14383.340982982052,69399200.39571755,5186.933333333333,1150261.1577583924
CoV-FISH-06B_R1_24h_INF_00001_3,479.638,gRNA,393506.954,33830239,24,Untreated,R1,14383.340982982052,26931442.097604454,5186.933333333333,446376.782306633
CoV-FISH-06B_R1_24h_INF_00001_5,992.636,gRNA,334020.72,28716140,24,Untreated,R1,14383.340982982052,14438717.940016627,5186.933333333333,239315.3857613503
CoV-FISH-06B_R1_24h_INF_00001_7,446.638,gRNA,1283195.966,110317812,24,Untreated,R1,14383.340982982052,103893665.35004286,5186.933333333333,1721991.7103926407
CoV-FISH-06B_R1_24h_INF_00001_9,704.655,gRNA,471532.784,40538208,24,Untreated,R1,14383.340982982052,30402914.859636784,5186.933333333333,503914.91323052236
CoV-FISH-06B_R1_24h_INF_00001_11,1221.817,gRNA,719035.568,61816303,24,Untreated,R1,14383.340982982052,44242492.470195815,5186.933333333333,733299.8121117362
CoV-FISH-06B_R1_24h_INF_00001_13,596.014,gRNA,2294894.245,197294660,24,Untreated,R1,14383.340982982052,188721987.40736893,5186.933333333333,3127983.759061587
CoV-FISH-06B_R1_24h_INF_00001_15,1046.444,gRNA,699235.038,60114029,24,Untreated,R1,14383.340982982052,45062668.128404334,5186.933333333333,746893.8621410849
CoV-FISH-06B_R1_24h_INF_00001_17,407.102,gRNA,1915833.639,164706390,24,Untreated,R1,14383.340982982052,158850903.11914605,5186.933333333333,2632883.7031394723
CoV-FISH-06B_R1_24h_INF_00001_19,976.2,gRNA,1113510.708,95729778,24,Untreated,R1,14383.340982982052,81688760.53241292,5186.933333333333,1353955.200205154
CoV-FISH-06B_R1_24h_INF_00001_21,1414.184,gRNA,3191758.106,274399063,24,Untreated,R1,14383.340982982052,254058372.31532252,5186.933333333333,4210905.540860794
CoV-FISH-06B_R1_24h_INF_00001_23,722.987,gRNA,1678218.336,144278333,24,Untreated,R1,14383.340982982052,133879364.45273675,5186.933333333333,2218991.4563463107
CoV-FISH-06B_R1_24h_INF_00001_25,390.852,gRNA,3567127.368,306669984,24,Untreated,R1,14383.340982982052,301048226.4101195,5186.933333333333,4989741.660956991
CoV-FISH-06B_R1_24h_INF_00001_31,1067.207,gRNA,336947.516,28967760,24,Untreated,R1,14383.340982982052,13617757.81957467,5186.933333333333,225708.3336162465
CoV-FISH-06B_R1_24h_INF_00001_35,663.444,gRNA,586265.492,50401909,24,Untreated,R1,14383.340982982052,40859367.724886455,5186.933333333333,677226.0106242374
CoV-FISH-06B_R1_24h_INF_00001_37,507.566,gRNA,1121599.039,96425141,24,Untreated,R1,14383.340982982052,89124646.15063173,5186.933333333333,1477201.7268423564
CoV-FISH-06B_R1_24h_INF_00001_39,512.405,gRNA,119735.073,10293760,24,Untreated,R1,14383.340982982052,2923664.1636150824,5186.933333333333,48458.44486047029
CoV-FISH-06B_R1_24h_INF_00001_41,347.082,gRNA,170997.466,14700846,24,Untreated,R1,14383.340982982052,9708647.244944625,5186.933333333333,160916.5488443718
CoV-FISH-06B_R1_24h_INF_00001_43,775.028,gRNA,350081.983,30096945,24,Untreated,R1,14383.340982982052,18949453.004641384,5186.933333333333,314078.83127933095
CoV-FISH-06B_R1_24h_INF_00001_4,550.278,ORFN,3972025.216,341479511,24,Untreated,R1,11068.976472595466,335388496.7646131,5448.466666666666,5292081.43988775
CoV-FISH-06B_R1_24h_INF_00001_6,889.834,ORFN,2393017.029,205730387,24,Untreated,R1,11068.976472595466,195880835.3894845,5448.466666666666,3090795.7291150964
CoV-FISH-06B_R1_24h_INF_00001_8,1146.187,ORFN,1860302.5,159932315,24,Untreated,R1,11068.976472595466,147245198.06380522,5448.466666666666,2323375.9872597884
CoV-FISH-06B_R1_24h_INF_00001_10,820.496,ORFN,7399459.416,636139915,24,Untreated,R1,11068.976472595466,627057864.0801413,5448.466666666666,9894320.51559945
CoV-FISH-06B_R1_24h_INF_00001_12,1305.392,ORFN,462311.782,39745468,24,Untreated,R1,11068.976472595466,25296114.664485656,5448.466666666666,399146.3637202522
CoV-FISH-06B_R1_24h_INF_00001_14,836.99,ORFN,256588.893,22059238,24,Untreated,R1,11068.976472595466,12794615.38220232,5448.466666666666,201885.71536541535
CoV-FISH-06B_R1_24h_INF_00001_16,689.662,ORFN,4689299.984,403144436,24,Untreated,R1,11068.976472595466,395510583.5479569,5448.466666666666,6240745.400228517
CoV-FISH-06B_R1_24h_INF_00001_18,450.337,ORFN,3172031.241,272703122,24,Untreated,R1,11068.976472595466,267718352.34226078,5448.466666666666,4224316.985272624
CoV-FISH-06B_R1_24h_INF_00001_20,975.746,ORFN,3158017.397,271498336,24,Untreated,R1,11068.976472595466,260697826.48277086,5448.466666666666,4113540.3934763526
CoV-FISH-06B_R1_24h_INF_00001_22,1164.356,ORFN,274896.607,23633173,24,Untreated,R1,11068.976472595466,10744943.830274632,5448.466666666666,169544.03137070386
CoV-FISH-06B_R1_24h_INF_00001_24,440.241,ORFN,5308139.281,456346752,24,Untreated,R1,11068.976472595466,451473734.7287281,5448.466666666666,7123785.684968061
CoV-FISH-06B_R1_24h_INF_00001_26,835.955,ORFN,714030.749,61386033,24,Untreated,R1,11068.976472595466,52132866.77285145,5448.466666666666,822602.3829624001
CoV-FISH-06B_R1_24h_INF_00001_28,1498.887,ORFN,4417632.227,379788851,24,Untreated,R1,11068.976472595466,363197706.0619208,5448.466666666666,5730881.821534482
CoV-FISH-06B_R1_24h_INF_00001_30,978.933,ORFN,194177.188,16693633,24,Untreated,R1,11068.976472595466,5857846.6547527015,5448.466666666666,92430.72394663046
CoV-FISH-06B_R1_24h_INF_00001_32,671.772,ORFN,173185.828,14888982,24,Untreated,R1,11068.976472595466,7453153.537051598,5448.466666666666,117603.00631224901
CoV-FISH-06B_R1_24h_INF_00001_34,1232.646,ORFN,248616.682,21373858,24,Untreated,R1,11068.976472595466,7729728.426961089,5448.466666666666,121967.0702433273
CoV-FISH-06B_R1_24h_INF_00001_36,643.216,ORFN,1102668.348,94797648,24,Untreated,R1,11068.976472595466,87677905.22920303,5448.466666666666,1383466.0980556894
CoV-FISH-06B_R1_24h_INF_00001_38,620.359,ORFN,164430.378,14136266,24,Untreated,R1,11068.976472595466,7269526.824437149,5448.466666666666,114705.56788764929
CoV-FISH-06B_R1_24h_INF_00001_40,936.198,ORFN,187568.819,16125504,24,Untreated,R1,11068.976472595466,5762750.364309071,5448.466666666666,90930.20345021012
CoV-FISH-06B_R1_24h_INF_00001_42,760.709,ORFN,580947.835,49944744,24,Untreated,R1,11068.976472595466,41524473.97650838,5448.466666666666,655212.9847983738
CoV-FISH-06B_R1_24h_INF_00001_44,325.202,ORFN,88706.891,7626232,24,Untreated,R1,11068.976472595466,4026578.7131590093,5448.466666666666,63535.22163018982
CoV-FISH-06B_R1_24h_INF_00002_1,217.038,gRNA,641625.341,55161258,24,Untreated,R1,14383.340982982052,52039526.43973554,5186.933333333333,862532.2134902065
