cell_id,Area,Channel,IntDen,RawIntDen,time,condition,repeat_exp,mock_bg_den,sub_RawIntDen,sm_mean_int,RNA_count,ImgeJ_cal_factor
CoV-FISH-06B_R1_24h_INF_00001_1,224.971,gRNA,844877.017,72635035,24,Untreated,R1,14383.340982982052,69399200.39571755,5186.933333333333,468286.7231472895,35
CoV-FISH-06B_R1_24h_INF_00001_3,479.638,gRNA,393506.954,33830239,24,Untreated,R1,14383.340982982052,26931442.097604457,5186.933333333333,181725.9665472513,35
CoV-FISH-06B_R1_24h_INF_00001_5,992.636,gRNA,334020.72,28716140,24,Untreated,R1,14383.340982982052,14438717.940016627,5186.933333333333,97428.49877266889,35
CoV-FISH-06B_R1_24h_INF_00001_7,446.638,gRNA,1283195.966,110317812,24,Untreated,R1,14383.340982982052,103893665.35004286,5186.933333333333,701045.8884989525,35
CoV-FISH-06B_R1_24h_INF_00001_9,704.655,gRNA,471532.784,40538208,24,Untreated,R1,14383.340982982052,30402914.859636784,5186.933333333333,205150.5102733704,35
CoV-FISH-06B_R1_24h_INF_00001_11,1221.817,gRNA,719035.568,61816303,24,Untreated,R1,14383.340982982052,44242492.470195815,5186.933333333333,298536.1748348774,35
CoV-FISH-06B_R1_24h_INF_00001_13,596.014,gRNA,2294894.245,197294660,24,Untreated,R1,14383.340982982052,188721987.40736893,5186.933333333333,1273444.0824233806,35
CoV-FISH-06B_R1_24h_INF_00001_15,1046.444,gRNA,699235.038,60114029,24,Untreated,R1,14383.340982982052,45062668.128404334,5186.933333333333,304070.49467138294,35
CoV-FISH-06B_R1_24h_INF_00001_17,407.102,gRNA,1915833.639,164706390,24,Untreated,R1,14383.340982982052,158850903.11914605,5186.933333333333,1071882.2186205294,35
CoV-FISH-06B_R1_24h_INF_00001_19,976.2,gRNA,1113510.708,95729778,24,Untreated,R1,14383.340982982052,81688760.53241292,5186.933333333333,551213.2959682893,35
CoV-FISH-06B_R1_24h_INF_00001_21,1414.184,gRNA,3191758.106,274399063,24,Untreated,R1,14383.340982982052,254058372.31532252,5186.933333333333,1714316.0437194016,35
CoV-FISH-06B_R1_24h_INF_00001_23,722.987,gRNA,1678218.336,144278333,24,Untreated,R1,14383.340982982052,133879364.45273677,5186.933333333333,903381.1415568196,35
CoV-FISH-06B_R1_24h_INF_00001_25,390.852,gRNA,3567127.368,306669984,24,Untreated,R1,14383.340982982052,301048226.4101195,5186.933333333333,2031390.6594174171,35
CoV-FISH-06B_R1_24h_INF_00001_31,1067.207,gRNA,336947.516,28967760,24,Untreated,R1,14383.340982982052,13617757.81957467,5186.933333333333,91888.88560069796,35
CoV-FISH-06B_R1_24h_INF_00001_35,663.444,gRNA,586265.492,50401909,24,Untreated,R1,14383.340982982052,40859367.724886455,5186.933333333333,275707.7792345559,35
CoV-FISH-06B_R1_24h_INF_00001_37,507.566,gRNA,1121599.039,96425141,24,Untreated,R1,14383.340982982052,89124646.15063173,5186.933333333333,601388.6076433301,35
CoV-FISH-06B_R1_24h_INF_00001_39,512.405,gRNA,119735.073,10293760,24,Untreated,R1,14383.340982982052,2923664.1636150824,5186.933333333333,19728.081922496505,35
CoV-FISH-06B_R1_24h_INF_00001_41,347.082,gRNA,170997.466,14700846,24,Untreated,R1,14383.340982982052,9708647.244944625,5186.933333333333,65511.28224250589,35
CoV-FISH-06B_R1_24h_INF_00001_43,775.028,gRNA,350081.983,30096945,24,Untreated,R1,14383.340982982052,18949453.004641384,5186.933333333333,127865.698774314,35
CoV-FISH-06B_R1_24h_INF_00001_4,550.278,ORFN,3972025.216,341479511,24,Untreated,R1,11068.976472595466,335388496.7646131,5448.466666666666,2154477.2327556605,35
CoV-FISH-06B_R1_24h_INF_00001_6,889.834,ORFN,2393017.029,205730387,24,Untreated,R1,11068.976472595466,195880835.3894845,5448.466666666666,1258304.3373607176,35
CoV-FISH-06B_R1_24h_INF_00001_8,1146.187,ORFN,1860302.5,159932315,24,Untreated,R1,11068.976472595466,147245198.06380522,5448.466666666666,945877.482147855,35
CoV-FISH-06B_R1_24h_INF_00001_10,820.496,ORFN,7399459.416,636139915,24,Untreated,R1,11068.976472595466,627057864.0801413,5448.466666666666,4028110.399770874,35
CoV-FISH-06B_R1_24h_INF_00001_12,1305.392,ORFN,462311.782,39745468,24,Untreated,R1,11068.976472595466,25296114.664485656,5448.466666666666,162497.83056829407,35
CoV-FISH-06B_R1_24h_INF_00001_14,836.99,ORFN,256588.893,22059238,24,Untreated,R1,11068.976472595466,12794615.38220232,5448.466666666666,82190.37864666778,35
CoV-FISH-06B_R1_24h_INF_00001_16,689.662,ORFN,4689299.984,403144436,24,Untreated,R1,11068.976472595466,395510583.5479569,5448.466666666666,2540691.036777043,35
CoV-FISH-06B_R1_24h_INF_00001_18,450.337,ORFN,3172031.241,272703122,24,Untreated,R1,11068.976472595466,267718352.3422608,5448.466666666666,1719776.0223633184,35
CoV-FISH-06B_R1_24h_INF_00001_20,975.746,ORFN,3158017.397,271498336,24,Untreated,R1,11068.976472595466,260697826.4827709,5448.466666666666,1674677.388175936,35
