File,n_cell,time,condition
CoV-FISH-06B_R1_24h_MOCK_00001,43,24h,Mock
CoV-FISH-06B_R1_24h_MOCK_00002,48,24h,Mock
CoV-FISH-06B_R1_24h_MOCK_00003,45,24h,Mock
CoV-FISH-06B_R1_24h_MOCK_00004,32,24h,Mock
CoV-FISH-06B_R1_24h_MOCK_00005,45,24h,Mock
CoV-FISH-06B_R2_24h_MOCK_00001,40,24h,Mock
CoV-FISH-06B_R2_24h_MOCK_00002,40,24h,Mock
CoV-FISH-06B_R2_24h_MOCK_00003,41,24h,Mock
CoV-FISH-06B_R2_24h_MOCK_00004,39,24h,Mock
CoV-FISH-06B_R2_24h_MOCK_00005,45,24h,Mock
CoV-FISH-06B_R1_26h_MOCK_00001,29,26h,Mock
CoV-FISH-06B_R1_26h_MOCK_00002,36,26h,Mock
CoV-FISH-06B_R1_26h_MOCK_00003,26,26h,Mock
CoV-FISH-06B_R1_26h_MOCK_00004,39,26h,Mock
CoV-FISH-06B_R1_26h_MOCK_00005,22,26h,Mock
CoV-FISH-06B_R2_26h_MOCK_00001,43,26h,Mock
CoV-FISH-06B_R2_26h_MOCK_00002,39,26h,Mock
CoV-FISH-06B_R2_26h_MOCK_00003,31,26h,Mock
CoV-FISH-06B_R2_26h_MOCK_00004,40,26h,Mock
CoV-FISH-06B_R2_26h_MOCK_00005,28,26h,Mock
CoV-FISH-06B_R2_26h_MOCK_00006,40,26h,Mock
CoV-FISH-06B_R1_28h_MOCK_00001,55,28h,Mock
CoV-FISH-06B_R1_28h_MOCK_00002,31,28h,Mock
CoV-FISH-06B_R1_28h_MOCK_00003,34,28h,Mock
CoV-FISH-06B_R1_28h_MOCK_00004,37,28h,Mock
CoV-FISH-06B_R1_28h_MOCK_00005,50,28h,Mock
CoV-FISH-06B_R2_28h_MOCK_00001,31,28h,Mock
CoV-FISH-06B_R2_28h_MOCK_00002,39,28h,Mock
CoV-FISH-06B_R2_28h_MOCK_00003,43,28h,Mock
CoV-FISH-06B_R2_28h_MOCK_00004,53,28h,Mock
CoV-FISH-06B_R2_28h_MOCK_00005,51,28h,Mock
CoV-FISH-06B_R1_32h_MOCK_00001,56,32h,Mock
CoV-FISH-06B_R1_32h_MOCK_00002,38,32h,Mock
CoV-FISH-06B_R1_32h_MOCK_00003,29,32h,Mock
CoV-FISH-06B_R1_32h_MOCK_00004,44,32h,Mock
CoV-FISH-06B_R1_32h_MOCK_00005,32,32h,Mock
CoV-FISH-06B_R2_32h_MOCK_00001,42,32h,Mock
CoV-FISH-06B_R2_32h_MOCK_00002,36,32h,Mock
CoV-FISH-06B_R2_32h_MOCK_00003,40,32h,Mock
CoV-FISH-06B_R2_32h_MOCK_00004,44,32h,Mock
CoV-FISH-06B_R2_32h_MOCK_00005,47,32h,Mock
CoV-FISH-06B_R1_48h_MOCK_00001,39,48h,Mock
CoV-FISH-06B_R1_48h_MOCK_00002,55,48h,Mock
CoV-FISH-06B_R1_48h_MOCK_00003,42,48h,Mock
CoV-FISH-06B_R1_48h_MOCK_00004,37,48h,Mock
CoV-FISH-06B_R1_48h_MOCK_00005,57,48h,Mock
CoV-FISH-06B_R2_48h_MOCK_00001,35,48h,Mock
CoV-FISH-06B_R2_48h_MOCK_00002,47,48h,Mock
CoV-FISH-06B_R2_48h_MOCK_00003,29,48h,Mock
CoV-FISH-06B_R2_48h_MOCK_00004,53,48h,Mock
CoV-FISH-06B_R2_48h_MOCK_00005,43,48h,Mock
CoV-FISH-06B_R1_24h_RDV_00001,43,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00002,36,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00003,25,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00004,25,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00005,39,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00006,29,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00007,40,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00008,32,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00009,38,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00010,46,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00011,38,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00012,24,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00013,27,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00014,47,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00015,47,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00016,31,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00017,30,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00018,46,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00019,43,24h,RDV
CoV-FISH-06B_R1_24h_RDV_00020,37,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00001,36,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00002,54,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00003,29,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00004,36,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00005,50,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00006,42,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00007,48,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00008,53,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00009,29,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00010,44,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00011,60,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00012,32,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00013,49,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00014,32,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00015,36,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00016,24,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00017,23,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00018,23,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00019,33,24h,RDV
CoV-FISH-06B_R2_24h_RDV_00020,23,24h,RDV
CoV-FISH-06B_R1_26h_RDV_00001,31,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00002,28,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00003,33,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00004,30,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00005,23,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00006,25,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00007,21,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00008,20,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00009,23,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00010,22,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00011,22,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00012,32,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00013,37,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00014,25,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00015,24,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00016,23,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00017,22,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00018,18,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00019,21,26h,RDV
CoV-FISH-06B_R1_26h_RDV_00020,27,26h,RDV
CoV-FISH-06B_R2_26h_RDV_00001,29,26h,RDV
CoV-FISH-06B_R2_26h_RDV_00002,32,26h,RDV
CoV-FISH-06B_R2_26h_RDV_00003,40,26h,RDV
CoV-FISH-06B_R2_26h_RDV_00004,44,26h,RDV
CoV-FISH-06B_R2_26h_RDV_00005,40,26h,RDV
CoV-FISH-06B_R2_26h_RDV_00006,30,26h,RDV
