Label,channel,time,condition,total_vRNAs,cytosolic_RNAs,repSites,mol_per_repSite,repeat_exp
6h_10_cleared__results_cell_0.npz,ORFN,8,Untreated,70,2,1,68,R6
6h_10_cleared__results_cell_1.npz,ORFN,8,Untreated,996,187,5,161.8,R6
6h_10_cleared__results_cell_2.npz,ORFN,8,Untreated,3818,307,18,195.05555555555554,R6
6h_10_cleared__results_cell_3.npz,ORFN,8,Untreated,198,31,1,167,R6
6h_10_cleared__results_cell_4.npz,ORFN,8,Untreated,4639,120,22,205.4090909090909,R6
6h_10_cleared__results_cell_0.npz,gRNA,8,Untreated,0,0,0,NA,R6
6h_10_cleared__results_cell_1.npz,gRNA,8,Untreated,358,143,8,26.875,R6
6h_10_cleared__results_cell_2.npz,gRNA,8,Untreated,923,190,12,61.083333333333336,R6
6h_10_cleared__results_cell_3.npz,gRNA,8,Untreated,71,14,2,28.5,R6
6h_10_cleared__results_cell_4.npz,gRNA,8,Untreated,350,25,4,81.25,R6
6h_11_cleared__results_cell_0.npz,ORFN,8,Untreated,106,10,2,48,R6
6h_11_cleared__results_cell_1.npz,ORFN,8,Untreated,2011,165,17,108.58823529411765,R6
6h_11_cleared__results_cell_10.npz,ORFN,8,Untreated,12,12,0,NA,R6
6h_11_cleared__results_cell_11.npz,ORFN,8,Untreated,114,65,1,49,R6
6h_11_cleared__results_cell_12.npz,ORFN,8,Untreated,0,0,0,NA,R6
6h_11_cleared__results_cell_13.npz,ORFN,8,Untreated,1551,81,14,105,R6
6h_11_cleared__results_cell_14.npz,ORFN,8,Untreated,0,0,0,NA,R6
6h_11_cleared__results_cell_15.npz,ORFN,8,Untreated,307,41,4,66.5,R6
6h_11_cleared__results_cell_2.npz,ORFN,8,Untreated,3,3,0,NA,R6
6h_11_cleared__results_cell_3.npz,ORFN,8,Untreated,278,81,4,49.25,R6
6h_11_cleared__results_cell_4.npz,ORFN,8,Untreated,0,0,0,NA,R6
6h_11_cleared__results_cell_5.npz,ORFN,8,Untreated,48,33,1,15,R6
6h_11_cleared__results_cell_6.npz,ORFN,8,Untreated,5,5,0,NA,R6
6h_11_cleared__results_cell_7.npz,ORFN,8,Untreated,58,14,1,44,R6
6h_11_cleared__results_cell_8.npz,ORFN,8,Untreated,3930,263,30,122.23333333333333,R6
6h_11_cleared__results_cell_9.npz,ORFN,8,Untreated,117,29,2,44,R6
6h_11_cleared__results_cell_0.npz,gRNA,8,Untreated,192,12,5,36,R6
6h_11_cleared__results_cell_1.npz,gRNA,8,Untreated,466,54,7,58.857142857142854,R6
6h_11_cleared__results_cell_10.npz,gRNA,8,Untreated,1,1,0,NA,R6
6h_11_cleared__results_cell_11.npz,gRNA,8,Untreated,236,111,3,41.666666666666664,R6
6h_11_cleared__results_cell_12.npz,gRNA,8,Untreated,0,0,0,NA,R6
6h_11_cleared__results_cell_13.npz,gRNA,8,Untreated,6,6,0,NA,R6
6h_11_cleared__results_cell_14.npz,gRNA,8,Untreated,0,0,0,NA,R6
6h_11_cleared__results_cell_15.npz,gRNA,8,Untreated,6,6,0,NA,R6
6h_11_cleared__results_cell_2.npz,gRNA,8,Untreated,2,2,0,NA,R6
6h_11_cleared__results_cell_3.npz,gRNA,8,Untreated,498,165,7,47.57142857142857,R6
6h_11_cleared__results_cell_4.npz,gRNA,8,Untreated,0,0,0,NA,R6
6h_11_cleared__results_cell_5.npz,gRNA,8,Untreated,86,49,2,18.5,R6
6h_11_cleared__results_cell_6.npz,gRNA,8,Untreated,2,2,0,NA,R6
6h_11_cleared__results_cell_7.npz,gRNA,8,Untreated,48,7,1,41,R6
6h_11_cleared__results_cell_8.npz,gRNA,8,Untreated,1088,98,16,61.875,R6
6h_11_cleared__results_cell_9.npz,gRNA,8,Untreated,244,53,5,38.2,R6
6h_12_cleared__results_cell_0.npz,ORFN,8,Untreated,29,15,1,14,R6
6h_12_cleared__results_cell_1.npz,ORFN,8,Untreated,51,51,0,NA,R6
6h_12_cleared__results_cell_10.npz,ORFN,8,Untreated,353,122,2,115.5,R6
6h_12_cleared__results_cell_11.npz,ORFN,8,Untreated,176,77,2,49.5,R6
6h_12_cleared__results_cell_12.npz,ORFN,8,Untreated,8118,280,34,230.52941176470588,R6
6h_12_cleared__results_cell_13.npz,ORFN,8,Untreated,0,0,0,NA,R6
6h_12_cleared__results_cell_2.npz,ORFN,8,Untreated,0,0,0,NA,R6
6h_12_cleared__results_cell_3.npz,ORFN,8,Untreated,15,15,1,0,R6
6h_12_cleared__results_cell_4.npz,ORFN,8,Untreated,224,44,5,36,R6
6h_12_cleared__results_cell_5.npz,ORFN,8,Untreated,186,85,1,101,R6
6h_12_cleared__results_cell_6.npz,ORFN,8,Untreated,75,40,2,17.5,R6
6h_12_cleared__results_cell_7.npz,ORFN,8,Untreated,232,27,4,51.25,R6
6h_12_cleared__results_cell_8.npz,ORFN,8,Untreated,2355,160,17,129.11764705882354,R6
6h_12_cleared__results_cell_9.npz,ORFN,8,Untreated,707,38,6,111.5,R6
6h_12_cleared__results_cell_0.npz,gRNA,8,Untreated,23,23,0,NA,R6
6h_12_cleared__results_cell_1.npz,gRNA,8,Untreated,787,93,7,99.14285714285714,R6
6h_12_cleared__results_cell_10.npz,gRNA,8,Untreated,696,191,8,63.125,R6
6h_12_cleared__results_cell_11.npz,gRNA,8,Untreated,829,135,8,86.75,R6
6h_12_cleared__results_cell_12.npz,gRNA,8,Untreated,2786,164,15,174.8,R6
6h_12_cleared__results_cell_13.npz,gRNA,8,Untreated,0,0,0,NA,R6
6h_12_cleared__results_cell_2.npz,gRNA,8,Untreated,0,0,0,NA,R6
6h_12_cleared__results_cell_3.npz,gRNA,8,Untreated,319,20,3,99.66666666666667,R6
6h_12_cleared__results_cell_4.npz,gRNA,8,Untreated,231,49,3,60.666666666666664,R6
6h_12_cleared__results_cell_5.npz,gRNA,8,Untreated,658,114,7,77.71428571428571,R6
6h_12_cleared__results_cell_6.npz,gRNA,8,Untreated,106,64,1,42,R6
6h_12_cleared__results_cell_7.npz,gRNA,8,Untreated,12,12,0,NA,R6
6h_12_cleared__results_cell_8.npz,gRNA,8,Untreated,1157,219,10,93.8,R6
6h_12_cleared__results_cell_9.npz,gRNA,8,Untreated,167,17,2,75,R6
6h_13_cleared__results_cell_0.npz,ORFN,8,Untreated,76,12,1,64,R6
6h_13_cleared__results_cell_1.npz,ORFN,8,Untreated,84,57,2,13.5,R6
6h_13_cleared__results_cell_2.npz,ORFN,8,Untreated,166,35,5,26.2,R6
6h_13_cleared__results_cell_3.npz,ORFN,8,Untreated,3127,255,35,82.05714285714286,R6
6h_13_cleared__results_cell_4.npz,ORFN,8,Untreated,338,48,5,58,R6
6h_13_cleared__results_cell_5.npz,ORFN,8,Untreated,23,23,0,NA,R6
6h_13_cleared__results_cell_6.npz,ORFN,8,Untreated,771,205,11,51.45454545454545,R6
6h_13_cleared__results_cell_7.npz,ORFN,8,Untreated,103,23,2,40,R6
6h_13_cleared__results_cell_8.npz,ORFN,8,Untreated,92,80,1,12,R6
