Label,channel,time,condition,total_vRNAs,cytosolic_RNAs,repSites,mol_per_repSite,repeat_exp,category
0h_10__results_cell_0.npz,ORFN,2,Untreated,13,13,0,0,R6,Low
0h_10__results_cell_1.npz,ORFN,2,Untreated,6,3,1,3,R6,Low
0h_10__results_cell_2.npz,ORFN,2,Untreated,20,18,1,2,R6,Low
0h_10__results_cell_3.npz,ORFN,2,Untreated,131,83,12,4,R6,Mid
0h_10__results_cell_4.npz,ORFN,2,Untreated,2,2,0,0,R6,Low
0h_10__results_cell_0.npz,gRNA,2,Untreated,15,15,0,0,R6,Low
0h_10__results_cell_1.npz,gRNA,2,Untreated,5,3,1,2,R6,Low
0h_10__results_cell_2.npz,gRNA,2,Untreated,20,16,2,2,R6,Low
0h_10__results_cell_3.npz,gRNA,2,Untreated,71,54,3,5.666666666666667,R6,Low
0h_10__results_cell_4.npz,gRNA,2,Untreated,1,1,0,0,R6,Low
0h_11__results_cell_0.npz,ORFN,2,Untreated,62,39,7,3.2857142857142856,R6,Low
0h_11__results_cell_1.npz,ORFN,2,Untreated,16,16,0,0,R6,Low
0h_11__results_cell_2.npz,ORFN,2,Untreated,0,0,0,0,R6,Low
0h_11__results_cell_3.npz,ORFN,2,Untreated,0,0,0,0,R6,Low
0h_11__results_cell_4.npz,ORFN,2,Untreated,12,8,2,2,R6,Low
0h_11__results_cell_5.npz,ORFN,2,Untreated,8,6,1,2,R6,Low
0h_11__results_cell_6.npz,ORFN,2,Untreated,0,0,0,0,R6,Low
0h_11__results_cell_0.npz,gRNA,2,Untreated,66,40,5,5.2,R6,Low
0h_11__results_cell_1.npz,gRNA,2,Untreated,21,19,1,2,R6,Low
0h_11__results_cell_2.npz,gRNA,2,Untreated,0,0,0,0,R6,Low
0h_11__results_cell_3.npz,gRNA,2,Untreated,4,4,0,0,R6,Low
0h_11__results_cell_4.npz,gRNA,2,Untreated,19,12,2,3.5,R6,Low
0h_11__results_cell_5.npz,gRNA,2,Untreated,4,4,0,0,R6,Low
0h_11__results_cell_6.npz,gRNA,2,Untreated,0,0,0,0,R6,Low
0h_12__results_cell_0.npz,ORFN,2,Untreated,6,6,0,0,R6,Low
0h_12__results_cell_1.npz,ORFN,2,Untreated,9,9,0,0,R6,Low
0h_12__results_cell_2.npz,ORFN,2,Untreated,0,0,0,0,R6,Low
0h_12__results_cell_3.npz,ORFN,2,Untreated,0,0,0,0,R6,Low
0h_12__results_cell_4.npz,ORFN,2,Untreated,3,3,0,0,R6,Low
0h_12__results_cell_5.npz,ORFN,2,Untreated,0,0,0,0,R6,Low
0h_12__results_cell_6.npz,ORFN,2,Untreated,2,2,0,0,R6,Low
0h_12__results_cell_0.npz,gRNA,2,Untreated,5,5,0,0,R6,Low
0h_12__results_cell_1.npz,gRNA,2,Untreated,9,9,0,0,R6,Low
0h_12__results_cell_2.npz,gRNA,2,Untreated,0,0,0,0,R6,Low
0h_12__results_cell_3.npz,gRNA,2,Untreated,0,0,0,0,R6,Low
0h_12__results_cell_4.npz,gRNA,2,Untreated,3,3,0,0,R6,Low
0h_12__results_cell_5.npz,gRNA,2,Untreated,0,0,0,0,R6,Low
0h_12__results_cell_6.npz,gRNA,2,Untreated,0,0,0,0,R6,Low
0h_13__results_cell_0.npz,ORFN,2,Untreated,2,2,0,0,R6,Low
0h_13__results_cell_1.npz,ORFN,2,Untreated,74,64,5,2,R6,Low
0h_13__results_cell_2.npz,ORFN,2,Untreated,2,2,0,0,R6,Low
0h_13__results_cell_3.npz,ORFN,2,Untreated,1,1,0,0,R6,Low
0h_13__results_cell_4.npz,ORFN,2,Untreated,4,2,1,2,R6,Low
0h_13__results_cell_0.npz,gRNA,2,Untreated,0,0,0,0,R6,Low
0h_13__results_cell_1.npz,gRNA,2,Untreated,63,57,3,2,R6,Low
0h_13__results_cell_2.npz,gRNA,2,Untreated,0,0,0,0,R6,Low
0h_13__results_cell_3.npz,gRNA,2,Untreated,2,2,0,0,R6,Low
0h_13__results_cell_4.npz,gRNA,2,Untreated,0,0,0,0,R6,Low
0h_14__results_cell_0.npz,ORFN,2,Untreated,33,27,2,3,R6,Low
0h_14__results_cell_1.npz,ORFN,2,Untreated,4,4,0,0,R6,Low
0h_14__results_cell_2.npz,ORFN,2,Untreated,1,1,0,0,R6,Low
0h_14__results_cell_3.npz,ORFN,2,Untreated,2,2,0,0,R6,Low
0h_14__results_cell_4.npz,ORFN,2,Untreated,0,0,0,0,R6,Low
0h_14__results_cell_0.npz,gRNA,2,Untreated,43,31,4,3,R6,Low
0h_14__results_cell_1.npz,gRNA,2,Untreated,6,6,0,0,R6,Low
0h_14__results_cell_2.npz,gRNA,2,Untreated,1,1,0,0,R6,Low
0h_14__results_cell_3.npz,gRNA,2,Untreated,5,5,0,0,R6,Low
0h_14__results_cell_4.npz,gRNA,2,Untreated,1,1,0,0,R6,Low
0h_15__results_cell_0.npz,ORFN,2,Untreated,18,18,0,0,R6,Low
0h_15__results_cell_1.npz,ORFN,2,Untreated,41,31,2,5,R6,Low
0h_15__results_cell_2.npz,ORFN,2,Untreated,60,38,4,5.5,R6,Low
0h_15__results_cell_3.npz,ORFN,2,Untreated,43,36,2,3.5,R6,Low
0h_15__results_cell_0.npz,gRNA,2,Untreated,19,19,0,0,R6,Low
0h_15__results_cell_1.npz,gRNA,2,Untreated,33,25,4,2,R6,Low
0h_15__results_cell_2.npz,gRNA,2,Untreated,27,21,2,3,R6,Low
0h_15__results_cell_3.npz,gRNA,2,Untreated,37,31,3,2,R6,Low
0h_1__results_cell_0.npz,ORFN,2,Untreated,28,21,3,2.3333333333333335,R6,Low
0h_1__results_cell_1.npz,ORFN,2,Untreated,64,52,4,3,R6,Low
0h_1__results_cell_2.npz,ORFN,2,Untreated,38,25,4,3.25,R6,Low
0h_1__results_cell_3.npz,ORFN,2,Untreated,77,57,6,3.3333333333333335,R6,Low
0h_1__results_cell_4.npz,ORFN,2,Untreated,3,3,0,0,R6,Low
0h_1__results_cell_0.npz,gRNA,2,Untreated,13,10,1,3,R6,Low
0h_1__results_cell_1.npz,gRNA,2,Untreated,60,52,4,2,R6,Low
0h_1__results_cell_2.npz,gRNA,2,Untreated,17,17,0,0,R6,Low
0h_1__results_cell_3.npz,gRNA,2,Untreated,65,46,3,6.333333333333333,R6,Low
0h_1__results_cell_4.npz,gRNA,2,Untreated,4,4,0,0,R6,Low
0h_2__results_cell_0.npz,ORFN,2,Untreated,5,5,0,0,R6,Low
0h_2__results_cell_1.npz,ORFN,2,Untreated,41,32,4,2.25,R6,Low
0h_2__results_cell_2.npz,ORFN,2,Untreated,92,72,6,3.3333333333333335,R6,Low
0h_2__results_cell_0.npz,gRNA,2,Untreated,9,7,1,2,R6,Low
0h_2__results_cell_1.npz,gRNA,2,Untreated,38,34,2,2,R6,Low
0h_2__results_cell_2.npz,gRNA,2,Untreated,95,77,8,2.25,R6,Low
0h_4__results_cell_0.npz,ORFN,2,Untreated,0,0,0,0,R6,Low
0h_4__results_cell_1.npz,ORFN,2,Untreated,7,5,1,2,R6,Low
0h_4__results_cell_2.npz,ORFN,2,Untreated,1,1,0,0,R6,Low
0h_4__results_cell_0.npz,gRNA,2,Untreated,0,0,0,0,R6,Low
0h_4__results_cell_1.npz,gRNA,2,Untreated,4,4,0,0,R6,Low
0h_4__results_cell_2.npz,gRNA,2,Untreated,1,1,0,0,R6,Low
0h_5__results_cell_0.npz,ORFN,2,Untreated,8,8,0,0,R6,Low
0h_5__results_cell_1.npz,ORFN,2,Untreated,18,12,2,3,R6,Low
0h_5__results_cell_2.npz,ORFN,2,Untreated,65,52,5,2.6,R6,Low
