Label,channel,time,condition,total_vRNAs_smFISH,total_vRNAs_intensity
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_10.npz,gRNA,10,Untreated,10547,12106.83181
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_6.npz,gRNA,10,Untreated,8255,8504.495557
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_16.npz,gRNA,10,Untreated,7064,4685.195524
CoV-FISH-01C_R1_10h_INF_00012_cleared__results_cell_11.npz,gRNA,10,Untreated,6937,9138.092361
CoV-FISH-01C_R1_10h_INF_00020_cleared__results_cell_2.npz,gRNA,10,Untreated,5863,5734.327202
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_21.npz,gRNA,10,Untreated,4769,6204.509869
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_1.npz,gRNA,10,Untreated,4753,3609.971089
CoV-FISH-01C_R1_10h_INF_00004_cleared__results_cell_6.npz,gRNA,10,Untreated,4054,2967.854939
CoV-FISH-01C_R1_10h_INF_00012_cleared__results_cell_21.npz,gRNA,10,Untreated,3901,3898.736699
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_8.npz,gRNA,10,Untreated,3716,4260.875125
CoV-FISH-01C_R1_10h_INF_00002_cleared__results_cell_8.npz,gRNA,10,Untreated,3642,2598.409033
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_15.npz,gRNA,10,Untreated,3182,2465.09557
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_10.npz,gRNA,10,Untreated,3083,2239.218198
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_35.npz,gRNA,10,Untreated,3052,3293.804108
CoV-FISH-01C_R1_10h_INF_00008_cleared__results_cell_15.npz,gRNA,10,Untreated,2887,2542.491905
CoV-FISH-01C_R1_10h_INF_00019_cleared__results_cell_25.npz,gRNA,10,Untreated,2874,3732.229184
CoV-FISH-01C_R1_10h_INF_00015_cleared__results_cell_0.npz,gRNA,10,Untreated,2750,3709.028432
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_30.npz,gRNA,10,Untreated,2667,2864.808057
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_18.npz,gRNA,10,Untreated,2651,2121.268281
CoV-FISH-01C_R1_10h_INF_00018_cleared__results_cell_22.npz,gRNA,10,Untreated,2580,1843.787843
CoV-FISH-01C_R1_10h_INF_00007_cleared__results_cell_10.npz,gRNA,10,Untreated,2537,2643.469541
CoV-FISH-01C_R1_10h_INF_00010_cleared__results_cell_16.npz,gRNA,10,Untreated,2358,1882.451683
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_20.npz,gRNA,10,Untreated,2195,2087.51662
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_9.npz,gRNA,10,Untreated,2127,2144.569354
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_24.npz,gRNA,10,Untreated,1983,1723.436576
CoV-FISH-01C_R1_10h_INF_00010_cleared__results_cell_31.npz,gRNA,10,Untreated,1978,1466.771338
CoV-FISH-01C_R1_10h_INF_00018_cleared__results_cell_1.npz,gRNA,10,Untreated,1865,2141.626947
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_32.npz,gRNA,10,Untreated,1663,1893.88653
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_11.npz,gRNA,10,Untreated,1654,1686.984148
CoV-FISH-01C_R1_10h_INF_00016_cleared__results_cell_8.npz,gRNA,10,Untreated,1636,1331.115736
CoV-FISH-01C_R1_10h_INF_00002_cleared__results_cell_18.npz,gRNA,10,Untreated,1624,1598.677112
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_0.npz,gRNA,10,Untreated,1367,1789.338618
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_27.npz,gRNA,10,Untreated,1292,1249.674532
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_21.npz,gRNA,10,Untreated,1237,1634.185933
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_5.npz,gRNA,10,Untreated,1228,1074.999011
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_22.npz,gRNA,10,Untreated,1163,1558.904654
CoV-FISH-01C_R1_10h_INF_00010_cleared__results_cell_30.npz,gRNA,10,Untreated,1132,1390.135337
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_32.npz,gRNA,10,Untreated,1051,727.1800715
CoV-FISH-01C_R1_10h_INF_00017_cleared__results_cell_15.npz,gRNA,10,Untreated,996,1171.56954
CoV-FISH-01C_R1_10h_INF_00005_cleared__results_cell_0.npz,gRNA,10,Untreated,928,985.4089952
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_25.npz,gRNA,10,Untreated,902,795.1278783
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_1.npz,gRNA,10,Untreated,896,682.533618
CoV-FISH-01C_R1_10h_INF_00018_cleared__results_cell_17.npz,gRNA,10,Untreated,885,954.876512
CoV-FISH-01C_R1_10h_INF_00012_cleared__results_cell_8.npz,gRNA,10,Untreated,837,926.7613776
CoV-FISH-01C_R1_10h_INF_00004_cleared__results_cell_9.npz,gRNA,10,Untreated,803,923.1922641
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_4.npz,gRNA,10,Untreated,773,805.8328724
CoV-FISH-01C_R1_10h_INF_00020_cleared__results_cell_8.npz,gRNA,10,Untreated,758,678.1200026
