time,condition,repeat_exp,total,n_permissive,p_permissive
2,RDV,R2,34,30,88.23529411764706
2,RDV,R3,25,17,68
2,RDV,R8,76,44,57.89473684210527
2,Untreated,R2,44,41,93.18181818181817
2,Untreated,R3,40,29,72.5
2,Untreated,R6,15,7,46.666666666666664
2,Untreated,R8,63,27,42.857142857142854
4,RDV,R7,120,53,44.166666666666664
4,RDV,R8,53,32,60.37735849056604
4,Untreated,R6,62,31,50
4,Untreated,R7,128,78,60.9375
4,Untreated,R8,26,20,76.92307692307693
6,RDV,R1,45,45,100
6,RDV,R7,163,163,100
6,RDV,R8,152,152,100
6,Untreated,R1,122,122,100
6,Untreated,R4,28,28,100
6,Untreated,R5,1,1,100
6,Untreated,R6,48,44,91.66666666666666
8,RDV,R1,60,60,100
8,RDV,R4,294,267,90.81632653061224
8,RDV,R5,271,270,99.63099630996311
8,Untreated,R1,78,78,100
8,Untreated,R4,318,303,95.28301886792453
8,Untreated,R5,326,323,99.079754601227
8,Untreated,R6,326,323,99.079754601227
10,RDV,R4,453,448,98.89624724061811
10,RDV,R5,489,481,98.3640081799591
10,Untreated,R4,569,569,100
10,Untreated,R5,504,501,99.40476190476191
