File,Total_count,Time,n_infected,p_infected
CoV-HIF-02b_Repeat1_INF_02-20_1380,154,8hpi,136,88.31168831
CoV-HIF-02b_Repeat1_INF_02-20_1381,179,8hpi,117,65.36312849
CoV-HIF-02b_Repeat1_INF_02-20_1382,119,8hpi,98,82.35294118
CoV-HIF-02b_Repeat1_INF_02-20_1383,185,8hpi,135,72.97297297
CoV-HIF-02b_Repeat1_INF_02-20_1384,153,8hpi,106,69.28104575
CoV-HIF-02b_Repeat1_MOCK_02-01_1392,168,Mock,0,0
CoV-HIF-02b_Repeat1_MOCK_02-01_1393,179,Mock,0,0
CoV-HIF-02b_Repeat1_MOCK_02-20_1390,205,Mock,0,0
CoV-HIF-02b_Repeat1_MOCK_02-20_1391,220,Mock,1,0.454545455
CoV-HIF-02b_Repeat2_INF_02-20_1336,193,8hpi,87,45.07772021
CoV-HIF-02b_Repeat2_INF_02-20_1337,194,8hpi,79,40.72164948
CoV-HIF-02b_Repeat2_INF_02-20_1338,223,8hpi,138,61.88340807
CoV-HIF-02b_Repeat2_INF_02-20_1339,81,8hpi,52,64.19753086
CoV-HIF-02b_Repeat2_MOCK_02-01_1406,176,Mock,1,0.568181818
CoV-HIF-02b_Repeat2_MOCK_02-01_1407,76,Mock,0,0
CoV-HIF-02b_Repeat2_MOCK_02-20_1404,231,Mock,2,0.865800866
CoV-HIF-02b_Repeat2_MOCK_02-20_1405,134,Mock,1,0.746268657
CoV-HIF-02b_Repeat3_INF_02-20_1359,159,8hpi,104,65.40880503
CoV-HIF-02b_Repeat3_INF_02-20_1361,207,8hpi,130,62.80193237
CoV-HIF-02b_Repeat3_INF_02-20_1362,246,8hpi,128,52.03252033
CoV-HIF-02b_Repeat3_INF_02-20_1363,210,8hpi,132,62.85714286
CoV-HIF-02b_Repeat3_MOCK_02-01_1410,158,Mock,0,0
CoV-HIF-02b_Repeat3_MOCK_02-01_1411,176,Mock,0,0
CoV-HIF-02b_Repeat3_MOCK_02-20_1408,206,Mock,3,1.45631068
CoV-HIF-02b_Repeat3_MOCK_02-20_1409,207,Mock,1,0.483091787
MAX_T1_INF_462_C1.tif,1027,sup,,1.947419669
MAX_T1_INF_464_C1.tif,1538,sup,,2.015604681
MAX_T1_INF_465_C1.tif,1651,sup,,4.179285282
MAX_T1_INF_466_C1.tif,1586,sup,,2.017654477
MAX_T1_INF_467_C1.tif,1435,sup,,3.135888502
MAX_T1_INF_468_C1.tif,1125,sup,,2.844444444
MAX_T1_INF_469_C1.tif,869,sup,,2.761795167
MAX_T1_INF_470_C1.tif,1468,sup,,2.792915531
MAX_T1_INF_471_C1.tif,1848,sup,,3.138528139
MAX_T1_INF_472_C1.tif,1805,sup,,4.376731302
MAX_T1_INF_473_C1.tif,944,sup,,4.978813559
MAX_T1_INF_474_C1.tif,1174,sup,,4.088586031
MAX_T1_INF_475_C1.tif,1160,sup,,4.396551724
MAX_T1_INF_476_C1.tif,1886,sup,,3.817603393
MAX_T1_INF_479_C1.tif,1600,sup,,4.125
MAX_T2_INF_01_C1.tif,1231,sup,,3.330625508
MAX_T2_INF_02_C1.tif,1214,sup,,3.789126853
MAX_T2_INF_03_C1.tif,1692,sup,,5.260047281
MAX_T2_INF_04_C1.tif,1662,sup,,4.813477738
MAX_T2_INF_05_C1.tif,648,sup,,5.401234568
MAX_T2_INF_06_C1.tif,1637,sup,,4.215027489
MAX_T2_INF_07_C1.tif,1464,sup,,4.030054645
MAX_T2_INF_08_C1.tif,1743,sup,,4.532415376
MAX_T2_INF_09_C1.tif,1501,sup,,3.197868088
MAX_T2_INF_10_C1.tif,1112,sup,,5.125899281
MAX_T2_INF_11_C1.tif,1595,sup,,3.260188088
MAX_T2_INF_12_C1.tif,1207,sup,,2.982601491
MAX_T2_INF_13_C1.tif,1656,sup,,4.166666667
MAX_T2_INF_14_C1.tif,1629,sup,,3.744628607
MAX_T2_INF_15_C1.tif,1028,sup,,6.322957198
