cell_id,total_count,condition,time.adj
INF_6h_manual_integrated_density_Cell_26,188347.5914,INF,8
INF_6h_manual_integrated_density_Cell_14,111884.1518,INF,8
INF_6h_manual_integrated_density_Cell_27,143532.0218,INF,8
INF_6h_manual_integrated_density_Cell_12,94108.48845,INF,8
INF_6h_manual_integrated_density_Cell_19,156738.7698,INF,8
INF_6h_manual_integrated_density_Cell_36,138380.3352,INF,8
INF_6h_manual_integrated_density_Cell_10,389907.6655,INF,8
INF_6h_manual_integrated_density_Cell_33,138408.2232,INF,8
INF_6h_manual_integrated_density_Cell_07,106686.809,INF,8
INF_6h_manual_integrated_density_Cell_21,163819.994,INF,8
INF_6h_manual_integrated_density_Cell_24,58813.84375,INF,8
INF_6h_manual_integrated_density_Cell_01,278431.3306,INF,8
INF_6h_manual_integrated_density_Cell_30,61170.43531,INF,8
INF_6h_manual_integrated_density_Cell_20,33932.9098,INF,8
INF_6h_manual_integrated_density_Cell_15,73245.92816,INF,8
INF_6h_manual_integrated_density_Cell_23,96769.01224,INF,8
INF_6h_manual_integrated_density_Cell_35,38414.47425,INF,8
INF_6h_manual_integrated_density_Cell_22,85737.51025,INF,8
INF_6h_manual_integrated_density_Cell_08,170062.242,INF,8
INF_6h_manual_integrated_density_Cell_11,88564.73123,INF,8
INF_6h_manual_integrated_density_Cell_34,103139.206,INF,8
INF_6h_manual_integrated_density_Cell_25,31850.23518,INF,8
INF_6h_manual_integrated_density_Cell_28,146144.6411,INF,8
INF_6h_manual_integrated_density_Cell_18,237153.33,INF,8
INF_6h_manual_integrated_density_Cell_32,255040.9257,INF,8
INF_6h_manual_integrated_density_Cell_02,168775.062,INF,8
INF_6h_manual_integrated_density_Cell_03,317411.4604,INF,8
INF_6h_manual_integrated_density_Cell_04,68591.74932,INF,8
INF_6h_manual_integrated_density_Cell_16,26880.96789,INF,8
INF_6h_manual_integrated_density_Cell_05,36270.65135,INF,8
INF_6h_manual_integrated_density_Cell_09,44129.60059,INF,8
INF_6h_manual_integrated_density_Cell_29,65220.02663,INF,8
INF_6h_manual_integrated_density_Cell_17,51122.51117,INF,8
INF_6h_manual_integrated_density_Cell_13,20946.29454,INF,8
INF_6h_manual_integrated_density_Cell_06,53897.85766,INF,8
