Time,condition,cells,smFISH.positive,p.infected,image
8hpi,INF,96,87,90.625,MAX_INF_6h_190_C1.tif
8hpi,INF,143,120,83.91608392,MAX_INF_6h_191_C1.tif
8hpi,INF,118,99,83.89830508,MAX_INF_6h_192_C1.tif
8hpi,INF,115,104,90.43478261,MAX_INF_6h_193_C1.tif
8hpi,INF,166,175,105.4216867,MAX_INF_6h_194_C1.tif
8hpi,INF,56,53,94.64285714,MAX_INF_6h_195_C1.tif
8hpi,INF,65,56,86.15384615,MAX_INF_6h_196_C1.tif
8hpi,INF,54,52,96.2962963,MAX_INF_6h_197_C1.tif
8hpi,INF,52,46,88.46153846,MAX_INF_6h_198_C1.tif
8hpi,INF,58,49,84.48275862,MAX_INF_6h_199_C1.tif
8hpi,INF,59,53,89.83050847,MAX_INF_6h_200_C1.tif
MOCK,MOCK,78,0,0,Mock-of-CoV-FISH-02_experiments
MOCK,MOCK,44,0,0,Mock-of-CoV-FISH-02_experiments
MOCK,MOCK,32,0,0,Mock-of-CoV-FISH-02_experiments
MOCK,MOCK,43,0,0,Mock-of-CoV-FISH-02_experiments
MOCK,MOCK,56,0,0,Mock-of-CoV-FISH-02_experiments
MOCK,MOCK,47,0,0,Mock-of-CoV-FISH-02_experiments
MOCK,MOCK,60,0,0,Mock-of-CoV-FISH-02_experiments
MOCK,MOCK,118,1,0.847457627,Mock-of-CoV-FISH-02_experiments
MOCK,MOCK,120,1,0.833333333,Mock-of-CoV-FISH-02_experiments
MOCK,MOCK,150,0,0,Mock-of-CoV-FISH-02_experiments
MOCK,MOCK,112,0,0,Mock-of-CoV-FISH-02_experiments
MOCK,MOCK,174,1,0.574712644,Mock-of-CoV-FISH-02_experiments
MOCK,MOCK,30,0,0,Mock-of-CoV-FISH-02_experiments
MOCK,MOCK,130,1,0.769230769,Mock-of-CoV-FISH-02_experiments
MOCK,MOCK,30,0,0,Mock-of-CoV-FISH-02_experiments
8hpi,INF,7,7,100,CoV-FISH-01_6h_images
8hpi,INF,24,23,95.83333333,CoV-FISH-01_6h_images
8hpi,INF,30,28,93.33333333,CoV-FISH-01_6h_images
8hpi,INF,31,30,96.77419355,CoV-FISH-01_6h_images
8hpi,INF,8,7,87.5,CoV-FISH-01_6h_images
8hpi,INF,8,8,100,CoV-FISH-01_6h_images
8hpi,INF,22,20,90.90909091,CoV-FISH-01_6h_images
8hpi,INF,17,16,94.11764706,CoV-FISH-01_6h_images
8hpi,INF,24,22,91.66666667,CoV-FISH-01_6h_images
8hpi,INF,38,33,86.84210526,CoV-FISH-01_6h_images
8hpi,INF,54,37,68.51851852,CoV-FISH-01_6h_images
8hpi,INF,12,12,100,CoV-FISH-01_6h_images
8hpi,INF,43,33,76.74418605,CoV-FISH-01_6h_images
8hpi,INF,23,20,86.95652174,CoV-FISH-01_6h_images
8hpi,INF,18,17,94.44444444,CoV-FISH-01_6h_images
8hpi,INF,23,20,86.95652174,CoV-FISH-01_6h_images
8hpi,INF,21,18,85.71428571,CoV-FISH-01_6h_images
8hpi,INF,23,22,95.65217391,CoV-FISH-01_6h_images
8hpi,INF,24,24,100,CoV-FISH-01_6h_images
8hpi,INF,25,22,88,CoV-FISH-01_6h_images
8hpi,INF,29,27,93.10344828,CoV-FISH-01_6h_images
sup,sup,320,,14.6875,MAX_Vero_8h_Vic_INF_overview_03
sup,sup,437,,12.8146453,MAX_Vero_8h_Vic_INF_overview_02
sup,sup,542,,11.0701107,MAX_Vero_8h_Vic_INF_overview_06
sup,sup,846,,8.8652482,MAX_Vero_8h_Vic_INF_overview_01
sup,sup,587,,8.8586031,MAX_Vero_8h_Vic_INF_overview_09
sup,sup,534,,7.1161049,MAX_Vero_8h_Vic_INF_overview_08
sup,sup,497,,6.639839,MAX_Vero_8h_Vic_INF_overview_07
sup,sup,308,,6.4935065,MAX_Vero_8h_Vic_INF_overview_04
