File,ID,time,strain,condition,repeat_exp,total_vRNAs_ORFN,total_vRNAs_gRNA,cytosolic_RNAs_ORFN,cytosolic_RNAs_gRNA,repSites_ORFN,repSites_gRNA,mol_per_repSite_ORFN,mol_per_repSite_gRNA,content,category,total_vRNAs_sgRNA,ratio
CoV-FISH-10_Vero_2h_B117_RDV_R1_00003__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,70,46.2,64,45,3,1,2,1.2,1.2,Low,23.799999999999997,0.515151515151515
CoV-FISH-10_Vero_2h_B117_RDV_R1_00003__results_cell_5.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,15,10.2,11,9,2,1,2,1.2,1.2,Low,4.800000000000001,0.47058823529411775
CoV-FISH-10_Vero_2h_B117_RDV_R1_00005__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,88,50.4,65,48,10,2,2.3,1.2,2.4,Low,37.6,0.746031746031746
CoV-FISH-10_Vero_2h_B117_RDV_R1_00006__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,105,119.8,71,115,13,4,2.6153846153846154,1.2,4.8,Mid,-14.799999999999997,-0.12353923205342235
CoV-FISH-10_Vero_2h_B117_RDV_R1_00006__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,26,22.2,22,21,2,1,2,1.2,1.2,Low,3.8000000000000007,0.1711711711711712
CoV-FISH-10_Vero_2h_B117_RDV_R1_00006__results_cell_5.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,107,76.4,83,74,10,2,2.4,1.2,2.4,Low,30.599999999999994,0.400523560209424
CoV-FISH-10_Vero_2h_B117_RDV_R1_00007__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,155,58.6,104,55,9,3,5.666666666666667,1.2,3.5999999999999996,Low,96.4,1.6450511945392492
CoV-FISH-10_Vero_2h_B117_RDV_R1_00007__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,33.6,33.6,29.6,30,2,3,2,1.2,3.5999999999999996,Low,0,0
CoV-FISH-10_Vero_2h_B117_RDV_R1_00007__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,16,7.2,11,6,1,1,5,1.2,1.2,Low,8.8,1.2222222222222223
CoV-FISH-10_Vero_2h_B117_RDV_R1_00007__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,79,51.8,62,47,8,4,2.125,1.2,4.8,Low,27.200000000000003,0.5250965250965252
CoV-FISH-10_Vero_2h_B117_RDV_R1_00007__results_cell_7.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,78,65.6,61,61.99999999999999,8,3,2.125,1.2,3.5999999999999996,Low,12.400000000000006,0.18902439024390255
CoV-FISH-10_Vero_2h_B117_RDV_R1_00008__results_cell_7.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,93,48.4,69,46,9,2,2.6666666666666665,1.2,2.4,Low,44.6,0.9214876033057852
CoV-FISH-10_Vero_2h_B117_RDV_R1_00008__results_cell_8.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,55,50.4,51,48,2,2,2,1.2,2.4,Low,4.600000000000001,0.0912698412698413
CoV-FISH-10_Vero_2h_B117_RDV_R1_00009__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,87,48.4,72,46,4,2,3.75,1.2,2.4,Low,38.6,0.7975206611570248
CoV-FISH-10_Vero_2h_B117_RDV_R1_00009__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,48,29.2,36,28,6,1,2,1.2,1.2,Low,18.8,0.6438356164383562
CoV-FISH-10_Vero_2h_B117_RDV_R1_00010__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,87,69.6,73,66,6,3,2.3333333333333335,1.2,3.5999999999999996,Low,17.400000000000006,0.2500000000000001
CoV-FISH-10_Vero_2h_B117_RDV_R1_00011__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,63,23.2,51,22,5,1,2.4,1.2,1.2,Low,39.8,1.7155172413793103
CoV-FISH-10_Vero_2h_B117_RDV_R1_00012__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,127,113.8,84,109,15,4,2.8666666666666667,1.2,4.8,Mid,13.200000000000003,0.11599297012302287
CoV-FISH-10_Vero_2h_B117_RDV_R1_00012__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,21,17.4,17,14.999999999999998,2,2,2,1.2,2.4,Low,3.6000000000000014,0.20689655172413804
CoV-FISH-10_Vero_2h_B117_RDV_R2_00001__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,241,74,151,68,27,5,3.3333333333333335,1.2,6,Low,167,2.2567567567567566
CoV-FISH-10_Vero_2h_B117_RDV_R2_00004__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,122,50.8,85,46,14,4,2.642857142857143,1.2,4.8,Low,71.2,1.4015748031496065
CoV-FISH-10_Vero_2h_B117_RDV_R2_00004__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,16,13.2,12,12,2,1,2,1.2,1.2,Low,2.8000000000000007,0.21212121212121218
CoV-FISH-10_Vero_2h_B117_RDV_R2_00005__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,186,78.4,134,76,18,2,2.888888888888889,1.2,2.4,Low,107.6,1.3724489795918366
CoV-FISH-10_Vero_2h_B117_RDV_R2_00006__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,180,89.6,138,86,12,3,3.5,1.2,3.5999999999999996,Low,90.4,1.0089285714285716
CoV-FISH-10_Vero_2h_B117_RDV_R2_00006__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,12,6.2,9,5,1,1,3,1.2,1.2,Low,5.8,0.9354838709677419
CoV-FISH-10_Vero_2h_B117_RDV_R2_00008__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,113,70.6,99,67,7,3,2,1.2,3.5999999999999996,Low,42.400000000000006,0.6005665722379605
CoV-FISH-10_Vero_2h_B117_RDV_R2_00009__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,68,33.4,51,31,6,2,2.8333333333333335,1.2,2.4,Low,34.6,1.035928143712575
CoV-FISH-10_Vero_2h_B117_RDV_R2_00009__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,108,40.2,76,39,8,1,4,1.2,1.2,Low,67.8,1.6865671641791042
