,file_name,ch,strain,time,condition,total_vRNAs,cytosolic_RNAs,repSites,mol_per_repSite
0,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch3_results_cell_0.npz,ORFN,B1.1.7,2,Untreated,235,161,2,37.0
1,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch3_results_cell_1.npz,ORFN,B1.1.7,2,Untreated,279,214,8,8.125
2,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch3_results_cell_2.npz,ORFN,B1.1.7,2,Untreated,116,103,3,4.333333333333333
3,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch3_results_cell_3.npz,ORFN,B1.1.7,2,Untreated,482,380,18,5.666666666666667
4,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch3_results_cell_4.npz,ORFN,B1.1.7,2,Untreated,134,107,2,13.5
5,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch3_results_cell_5.npz,ORFN,B1.1.7,2,Untreated,108,89,4,4.75
6,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch4_results_cell_0.npz,gRNA,B1.1.7,2,Untreated,9,9,0,
7,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch4_results_cell_1.npz,gRNA,B1.1.7,2,Untreated,38,38,0,
8,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch4_results_cell_2.npz,gRNA,B1.1.7,2,Untreated,12,12,0,
9,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch4_results_cell_3.npz,gRNA,B1.1.7,2,Untreated,91,77,3,4.666666666666667
10,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch4_results_cell_4.npz,gRNA,B1.1.7,2,Untreated,13,13,0,
11,CoV-FISH-10_Vero_2h_B117_INF_R1_00001_ch4_results_cell_5.npz,gRNA,B1.1.7,2,Untreated,7,7,0,
12,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_0.npz,ORFN,B1.1.7,2,Untreated,133,95,6,6.333333333333333
13,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_1.npz,ORFN,B1.1.7,2,Untreated,249,216,7,4.714285714285714
14,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_2.npz,ORFN,B1.1.7,2,Untreated,274,235,8,4.875
15,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_3.npz,ORFN,B1.1.7,2,Untreated,93,75,2,9.0
16,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_4.npz,ORFN,B1.1.7,2,Untreated,229,191,9,4.222222222222222
17,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_5.npz,ORFN,B1.1.7,2,Untreated,213,167,8,5.75
18,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_6.npz,ORFN,B1.1.7,2,Untreated,191,166,4,6.25
19,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch3_results_cell_7.npz,ORFN,B1.1.7,2,Untreated,123,113,2,5.0
20,CoV-FISH-10_Vero_2h_B117_INF_R1_00002_ch4_results_cell_0.npz,gRNA,B1.1.7,2,Untreated,7,7,0,
