,file_name,strain,time,treatment,ch3_total_vRNAs,ch3_cytosolic_RNAs,ch3_repSites,ch3_mol_per_repSite,ch4_total_vRNAs,ch4_cytosolic_RNAs,ch4_repSites,ch4_mol_per_repSite
776,CoV-FISH-10_Vero_2h_B117_RDV_R1_00010_ch3_results_cell_8.npz,B117,2,RDV,3528,1173,51,46.17647059,572,362,21,10
614,CoV-FISH-10_Vero_2h_B117_INF_R3_00011_ch3_results_cell_6.npz,B117,2,INF,163,102,4,15.25,303,202,9,11.22222222
924,CoV-FISH-10_Vero_2h_B117_RDV_R2_00008_ch3_results_cell_2.npz,B117,2,RDV,995,266,9,81,261,127,7,19.14285714
1579,CoV-FISH-10_Vero_2h_Vic_INF_R1_00018_ch3_results_cell_1.npz,Vic,2,INF,996,389,22,27.59090909,245,150,14,6.785714286
1679,CoV-FISH-10_Vero_2h_Vic_INF_R2_00007_ch3_results_cell_3.npz,Vic,2,INF,232,139,5,18.6,235,179,8,7
1751,CoV-FISH-10_Vero_2h_Vic_INF_R3_00004_ch3_results_cell_3.npz,Vic,2,INF,1181,866,18,17.5,232,178,9,6
1812,CoV-FISH-10_Vero_2h_Vic_RDV_R1_00001_ch3_results_cell_6.npz,Vic,2,RDV,851,434,12,34.75,195,159,9,4
849,CoV-FISH-10_Vero_2h_B117_RDV_R2_00003_ch3_results_cell_1.npz,B117,2,RDV,735,391,12,28.66666667,174,161,2,6.5
1777,CoV-FISH-10_Vero_2h_Vic_INF_R3_00007_ch3_results_cell_3.npz,Vic,2,INF,350,253,8,12.125,164,145,2,9.5
2043,CoV-FISH-10_Vero_2h_Vic_RDV_R2_00005_ch3_results_cell_5.npz,Vic,2,RDV,150,108,5,8.4,153,140,3,4.333333333
925,CoV-FISH-10_Vero_2h_B117_RDV_R2_00008_ch3_results_cell_3.npz,B117,2,RDV,642,208,6,72.33333333,151,117,2,17
822,CoV-FISH-10_Vero_2h_B117_RDV_R2_00001_ch3_results_cell_0.npz,B117,2,RDV,528,284,7,34.85714286,145,117,5,5.6
878,CoV-FISH-10_Vero_2h_B117_RDV_R2_00005_ch3_results_cell_2.npz,B117,2,RDV,516,264,8,31.5,142,120,2,11
1643,CoV-FISH-10_Vero_2h_Vic_INF_R2_00003_ch3_results_cell_3.npz,Vic,2,INF,389,209,9,20,138,108,3,10
2121,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00001_ch3_results_cell_1.npz,Vic,2,RDV,361,237,8,15.5,133,118,4,3.75
372,CoV-FISH-10_Vero_2h_B117_INF_R2_00005_ch3_results_cell_0.npz,B117,2,INF,42,31,2,5.5,130,127,2,1.5
944,CoV-FISH-10_Vero_2h_B117_RDV_R2_00010_ch3_results_cell_4.npz,B117,2,RDV,630,208,15,28.13333333,128,103,4,6.25
930,CoV-FISH-10_Vero_2h_B117_RDV_R2_00009_ch3_results_cell_0.npz,B117,2,RDV,520,207,13,24.07692308,122,103,3,6.333333333
1703,CoV-FISH-10_Vero_2h_Vic_INF_R2_00009_ch3_results_cell_3.npz,Vic,2,INF,83,69,2,7,120,59,5,12.2
2132,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00002_ch3_results_cell_4.npz,Vic,2,RDV,186,128,5,11.6,119,92,4,6.75
1704,CoV-FISH-10_Vero_2h_Vic_INF_R2_00009_ch3_results_cell_4.npz,Vic,2,INF,200,126,4,18.5,116,66,3,16.66666667
1682,CoV-FISH-10_Vero_2h_Vic_INF_R2_00007_ch3_results_cell_6.npz,Vic,2,INF,188,131,4,14.25,114,66,3,16
2141,CoV-FISH-10_Vero_2h_Vic_RDV_R3_00003_ch3_results_cell_1.npz,Vic,2,RDV,198,150,3,16,110,102,2,4
1641,CoV-FISH-10_Vero_2h_Vic_INF_R2_00003_ch3_results_cell_1.npz,Vic,2,INF,345,165,7,25.71428571,108,71,4,9.25
880,CoV-FISH-10_Vero_2h_B117_RDV_R2_00005_ch3_results_cell_4.npz,B117,2,RDV,334,146,7,26.85714286,108,96,3,4
