Image,Virus,Total_count,INF_count,p_infection,repeat_exp
MAX_CoV-FISH-10_A549_2h_B117_INF_001,B1.1.7,33,31,93.93939394,R1
MAX_CoV-FISH-10_A549_2h_B117_INF_002,B1.1.7,16,16,100,R1
MAX_CoV-FISH-10_A549_2h_B117_INF_003,B1.1.7,13,12,92.30769231,R1
MAX_CoV-FISH-10_A549_2h_B117_INF_004,B1.1.7,17,16,94.11764706,R1
MAX_CoV-FISH-10_A549_2h_B117_INF_005,B1.1.7,15,14,93.33333333,R1
MAX_CoV-FISH-10_A549_2h_B117_INF_006,B1.1.7,33,30,90.90909091,R1
MAX_CoV-FISH-10_A549_2h_B117_INF_007,B1.1.7,24,22,91.66666667,R1
MAX_CoV-FISH-10_A549_2h_B117_INF_008,B1.1.7,22,20,90.90909091,R1
MAX_CoV-FISH-10_A549_2h_B117_INF_009,B1.1.7,27,24,88.88888889,R2
MAX_CoV-FISH-10_A549_2h_B117_INF_010,B1.1.7,25,24,96,R2
MAX_CoV-FISH-10_A549_2h_B117_INF_011,B1.1.7,22,22,100,R2
MAX_CoV-FISH-10_A549_2h_B117_INF_012,B1.1.7,16,15,93.75,R2
MAX_CoV-FISH-10_A549_2h_B117_INF_013,B1.1.7,18,16,88.88888889,R2
MAX_CoV-FISH-10_A549_2h_B117_INF_014,B1.1.7,11,10,90.90909091,R2
MAX_CoV-FISH-10_A549_2h_B117_INF_015,B1.1.7,15,14,93.33333333,R2
MAX_CoV-FISH-10_A549_2h_B117_INF_016,B1.1.7,12,12,100,R2
MAX_CoV-FISH-10_A549_2h_B117_INF_017,B1.1.7,20,19,95,R3
MAX_CoV-FISH-10_A549_2h_B117_INF_018,B1.1.7,17,12,70.58823529,R3
MAX_CoV-FISH-10_A549_2h_B117_INF_019,B1.1.7,28,23,82.14285714,R3
MAX_CoV-FISH-10_A549_2h_B117_INF_020,B1.1.7,14,12,85.71428571,R3
MAX_CoV-FISH-10_A549_2h_B117_INF_021,B1.1.7,11,10,90.90909091,R3
MAX_CoV-FISH-10_A549_2h_B117_INF_022,B1.1.7,10,9,90,R3
MAX_CoV-FISH-10_A549_2h_B117_INF_023,B1.1.7,13,13,100,R3
MAX_CoV-FISH-10_A549_2h_B117_INF_024,B1.1.7,28,22,78.57142857,R3
MAX_CoV-FISH-10_A549_2h_Vic_INF_001,Victoria,9,9,100,R1
MAX_CoV-FISH-10_A549_2h_Vic_INF_002,Victoria,15,14,93.33333333,R1
MAX_CoV-FISH-10_A549_2h_Vic_INF_003,Victoria,18,16,88.88888889,R1
MAX_CoV-FISH-10_A549_2h_Vic_INF_004,Victoria,19,18,94.73684211,R1
MAX_CoV-FISH-10_A549_2h_Vic_INF_005,Victoria,21,20,95.23809524,R1
MAX_CoV-FISH-10_A549_2h_Vic_INF_006,Victoria,21,18,85.71428571,R1
MAX_CoV-FISH-10_A549_2h_Vic_INF_007,Victoria,11,10,90.90909091,R1
MAX_CoV-FISH-10_A549_2h_Vic_INF_008,Victoria,12,10,83.33333333,R1
MAX_CoV-FISH-10_A549_2h_Vic_INF_009,Victoria,30,24,80,R2
MAX_CoV-FISH-10_A549_2h_Vic_INF_010,Victoria,18,18,100,R2
MAX_CoV-FISH-10_A549_2h_Vic_INF_011,Victoria,31,26,83.87096774,R2
MAX_CoV-FISH-10_A549_2h_Vic_INF_012,Victoria,19,18,94.73684211,R2
MAX_CoV-FISH-10_A549_2h_Vic_INF_013,Victoria,12,11,91.66666667,R2
MAX_CoV-FISH-10_A549_2h_Vic_INF_014,Victoria,17,16,94.11764706,R2
MAX_CoV-FISH-10_A549_2h_Vic_INF_015,Victoria,16,16,100,R2
MAX_CoV-FISH-10_A549_2h_Vic_INF_016,Victoria,13,10,76.92307692,R2
MAX_CoV-FISH-10_A549_2h_Vic_INF_017,Victoria,12,12,100,R3
MAX_CoV-FISH-10_A549_2h_Vic_INF_018,Victoria,11,10,90.90909091,R3
MAX_CoV-FISH-10_A549_2h_Vic_INF_019,Victoria,21,17,80.95238095,R3
MAX_CoV-FISH-10_A549_2h_Vic_INF_020,Victoria,19,17,89.47368421,R3
MAX_CoV-FISH-10_A549_2h_Vic_INF_021,Victoria,16,14,87.5,R3
MAX_CoV-FISH-10_A549_2h_Vic_INF_022,Victoria,24,22,91.66666667,R3
MAX_CoV-FISH-10_A549_2h_Vic_INF_023,Victoria,22,20,90.90909091,R3
MAX_CoV-FISH-10_A549_2h_Vic_INF_024,Victoria,25,23,92,R3
